[u'diaper', 0.74686444, u'tub', 0.097079933, u'bathtub', 0.062989257]
[u'maillot', 0.52034336, u'miniskirt', 0.28236616, u'maillot', 0.11318406]
[u'bikini', 0.4544605, u'maillot', 0.23630653, u'tub', 0.041328359]
[u'miniskirt', 0.20694856, u'maillot', 0.18969472, u'sunglasses', 0.15627436]
[u'diaper', 0.67047274, u'butternut_squash', 0.104275, u'swimming_trunks', 0.036822863]
[u'bikini', 0.42325932, u'brassiere', 0.15716417, u'swimming_trunks', 0.14448489]
[u'bikini', 0.47283494, u'maillot', 0.2322897, u'conch', 0.18021019]
[u'wig', 0.18769084, u'hand_blower', 0.087522946, u'lipstick', 0.066986769]
[u'brassiere', 0.77948666, u'bikini', 0.13502769, u'maillot', 0.018972613]
[u'bikini', 0.3202174, u'swimming_trunks', 0.16252981, u'maillot', 0.094672337]
[u'groom', 0.34200126, u'brassiere', 0.14179134, u'hoopskirt', 0.068431631]
[u'power_drill', 0.28607672, u'swimming_trunks', 0.093439572, u'dumbbell', 0.057135355]
[u'swimming_trunks', 0.31817609, u'diaper', 0.10069279, u'window_screen', 0.086470753]
[u'bikini', 0.33989727, u'maillot', 0.28629836, u'bathtub', 0.093298979]
[u'bathing_cap', 0.49935502, u'swimming_trunks', 0.2268866, u'maillot', 0.13256574]
[u'bikini', 0.88896668, u'brassiere', 0.069051027, u'maillot', 0.011985089]
[u'diaper', 0.34243494, u'swimming_trunks', 0.2563521, u'sunscreen', 0.19504453]
[u'swimming_trunks', 0.56245166, u'diaper', 0.26919407, u'sunscreen', 0.077711985]
[u'pajama', 0.50692886, u'gown', 0.19870409, u'miniskirt', 0.064146534]
[u'tub', 0.20284891, u'bathtub', 0.1993214, u'tile_roof', 0.061495043]
[u'miniskirt', 0.41045827, u'feather_boa', 0.086932018, u'handkerchief', 0.030409491]
[u'sandbar', 0.2365023, u'cliff', 0.22457135, u'bikini', 0.14561358]
[u'swimming_trunks', 0.29801896, u'diaper', 0.25106388, u'bathtub', 0.072707176]
[u'bikini', 0.3612324, u'swimming_trunks', 0.24079932, u'diaper', 0.10428953]
[u'bikini', 0.4386948, u'brassiere', 0.18445739, u'maillot', 0.069289245]
[u'maillot', 0.3480303, u'maillot', 0.25054753, u'miniskirt', 0.24488345]
[u'bikini', 0.30556524, u'bathtub', 0.17008239, u'brassiere', 0.15185896]
[u'brassiere', 0.61767781, u'bikini', 0.35976502, u'gown', 0.0046434752]
[u'sarong', 0.27384457, u'maillot', 0.095296308, u'sombrero', 0.081532046]
[u'lotion', 0.052922893, u'velvet', 0.049189612, u'perfume', 0.04779407]
[u'lipstick', 0.13130131, u'hair_slide', 0.087709941, u'lotion', 0.085373744]
[u'brassiere', 0.30769637, u'bikini', 0.14506644, u'hair_slide', 0.039220456]
[u'diaper', 0.79283416, u'bikini', 0.16934623, u'brassiere', 0.012070487]
[u'brassiere', 0.68243748, u'maillot', 0.10847301, u'bikini', 0.058456454]
[u'bikini', 0.81081551, u'sunscreen', 0.079949707, u'maillot', 0.023532467]
[u'nipple', 0.16757107, u'tub', 0.10058019, u'bathtub', 0.047684591]
[u'diaper', 0.57768685, u'bikini', 0.15109175, u'swing', 0.030849477]
[u'bikini', 0.27006719, u'brassiere', 0.25017515, u'sunscreen', 0.074806303]
[u'bikini', 0.96414864, u'sunscreen', 0.0099742049, u'brassiere', 0.0091408147]
[u'diaper', 0.16529171, u'bikini', 0.15994716, u'swimming_trunks', 0.11612391]
[u'bikini', 0.35125345, u'tub', 0.31910333, u'bathtub', 0.054967139]
[u'brassiere', 0.982077, u'bikini', 0.0076142102, u'miniskirt', 0.0043207863]
[u'diaper', 0.33143198, u'studio_couch', 0.12424232, u'maillot', 0.10772691]
[u'brassiere', 0.55269527, u'bikini', 0.40439251, u'maillot', 0.032200068]
[u'pajama', 0.21078786, u'maillot', 0.063277587, u'tub', 0.056845866]
[u'neck_brace', 0.25377864, u'miniskirt', 0.16556236, u'park_bench', 0.11283246]
[u'bikini', 0.85436529, u'maillot', 0.044586293, u'brassiere', 0.025540322]
[u'bikini', 0.59997272, u'brassiere', 0.17701586, u'maillot', 0.096452713]
[u'bikini', 0.37295672, u'miniskirt', 0.31205326, u'maillot', 0.16296272]
[u'catamaran', 0.30318075, u'tank', 0.13154715, u'trimaran', 0.048631828]
