[u'butcher_shop', 0.53203899, u'chain_saw', 0.074241482, u'hoopskirt', 0.06634976]
[u'barracouta', 0.16972493, u'bow', 0.1080526, u'swimming_trunks', 0.094941303]
[u'studio_couch', 0.77093703, u'quilt', 0.095838346, u'maillot', 0.038256835]
[u'comic_book', 0.25330937, u'hen-of-the-woods', 0.092010953, u'jigsaw_puzzle', 0.057922818]
[u'studio_couch', 0.88618672, u'cowboy_boot', 0.015010025, u'brassiere', 0.0071446607]
[u'cowboy_hat', 0.28575379, u'diaper', 0.23147382, u'swimming_trunks', 0.2297314]
[u'comic_book', 0.65600181, u'book_jacket', 0.045289837, u'tray', 0.038184047]
[u'butcher_shop', 0.87943512, u'comic_book', 0.015141346, u'rotisserie', 0.0074817594]
[u'fur_coat', 0.5595417, u'breastplate', 0.10475416, u'cuirass', 0.048028696]
[u'comic_book', 0.13031639, u'butcher_shop', 0.1208655, u'prison', 0.11070614]
[u'barrel', 0.16457357, u'vizsla', 0.15621506, u'hog', 0.099977724]
[u'swimming_trunks', 0.2550433, u'unicycle', 0.089038126, u'fur_coat', 0.045916878]
[u'comic_book', 0.75784171, u'book_jacket', 0.06273403, u'studio_couch', 0.018012965]
[u'comic_book', 0.9993062, u'book_jacket', 0.00055353832, u'jigsaw_puzzle', 6.1706829e-05]
[u'swimming_trunks', 0.39841509, u'bathing_cap', 0.21015333, u'maillot', 0.10176006]
[u'comic_book', 0.99923158, u'jigsaw_puzzle', 0.0004439358, u'book_jacket', 0.00016803254]
[u'barbell', 0.15883297, u'maraca', 0.12687324, u'loupe', 0.08659523]
[u'comic_book', 0.40992671, u'dalmatian', 0.088746428, u'book_jacket', 0.074341737]
[u'comic_book', 0.28683436, u'parachute', 0.070086084, u'swimming_trunks', 0.058889285]
[u'comic_book', 0.93020838, u'breastplate', 0.0399746, u'cuirass', 0.0091669112]
[u'swimming_trunks', 0.23661992, u'bikini', 0.081859954, u'brassiere', 0.070320867]
[u'scuba_diver', 0.23910421, u'bubble', 0.11581609, u'electric_fan', 0.058483545]
[u'comic_book', 0.68125552, u'jigsaw_puzzle', 0.30089536, u'book_jacket', 0.0052853213]
[u'gasmask', 0.26532561, u'breastplate', 0.096588872, u'brassiere', 0.088389464]
[u'vizsla', 0.21487825, u'studio_couch', 0.13369772, u'butcher_shop', 0.12168313]
