[u'Chesapeake_Bay_retriever', 0.26847249, u'Mexican_hairless', 0.23283666, u'curly-coated_retriever', 0.096983142]
[u'oxygen_mask', 0.57729214, u'nipple', 0.073146679, u'piggy_bank', 0.032846455]
[u'balance_beam', 0.12012787, u'pole', 0.11919542, u'chain_saw', 0.084312484]
[u'Weimaraner', 0.45368695, u'Indian_elephant', 0.075486198, u'Great_Dane', 0.028501606]
[u'maillot', 0.59827828, u'maillot', 0.22136678, u'miniskirt', 0.048584118]
[u'lion', 0.097612016, u'miniskirt', 0.062745363, u'cougar', 0.058284074]
[u'groom', 0.60426563, u'gown', 0.090571448, u'butcher_shop', 0.088404961]
[u'fur_coat', 0.075983383, u'stretcher', 0.056057207, u'prison', 0.055524457]
[u'maillot', 0.11822574, u'bikini', 0.093622416, u'maillot', 0.091123872]
[u'bikini', 0.33477855, u'swimming_trunks', 0.19592805, u'brassiere', 0.12665734]
[u'bikini', 0.72786087, u'bathing_cap', 0.063522063, u'swimming_trunks', 0.057398565]
[u'Great_Dane', 0.17301111, u'Weimaraner', 0.16574539, u'triceratops', 0.12173387]
[u'miniskirt', 0.57301986, u'bikini', 0.19223584, u'maillot', 0.17126794]
[u'bikini', 0.65602565, u'maillot', 0.090788022, u'bathtub', 0.07983169]
[u'ice_lolly', 0.27957633, u'bikini', 0.12990984, u'swimming_trunks', 0.11381276]
[u'bikini', 0.46230146, u'maillot', 0.09614303, u'pole', 0.079622559]
[u'maillot', 0.51118392, u'miniskirt', 0.22812839, u'maillot', 0.090082899]
[u'butcher_shop', 0.36088404, u'swimming_trunks', 0.053158436, u'hog', 0.042629339]
[u'brassiere', 0.22365205, u'miniskirt', 0.085235819, u'bikini', 0.035261422]
[u'bikini', 0.47768962, u'brassiere', 0.12282612, u'maillot', 0.10245208]
[u'corn', 0.64478654, u'ear', 0.34725422, u'hotdog', 0.0019107463]
[u'bikini', 0.51270378, u'maillot', 0.37337649, u'miniskirt', 0.027291041]
