[u'Indian_cobra', 0.081322446, u'cradle', 0.063782707, u'sturgeon', 0.055775672, u"potter's_wheel", 0.054320667, u'bobsled', 0.036998887]
[u'wig', 0.21436214, u'brassiere', 0.12699676, u'bikini', 0.062756151, u'cloak', 0.040910561, u'sunscreen', 0.034702498]
[u'bikini', 0.16343912, u'theater_curtain', 0.056126483, u'vizsla', 0.054560687, u'Italian_greyhound', 0.054055948, u'balance_beam', 0.05267423]
[u'brassiere', 0.21034932, u'tub', 0.03150079, u'swimming_trunks', 0.027808642, u'fountain', 0.024890507, u'pedestal', 0.020352844]
[u'brassiere', 0.50052422, u'hoopskirt', 0.33093518, u'gown', 0.05314232, u'maillot', 0.026426191, u'overskirt', 0.020109219]
[u'bikini', 0.29679701, u'brassiere', 0.16353123, u'maillot', 0.12029068, u'maillot', 0.11911453, u'miniskirt', 0.043853316]
[u'bikini', 0.19615944, u'maillot', 0.17973945, u'brassiere', 0.11919647, u'diaper', 0.067584902, u'maillot', 0.066353455]
[u"potter's_wheel", 0.10365266, u'web_site', 0.063532017, u'bassoon', 0.058233853, u'comic_book', 0.050742216, u'book_jacket', 0.044331055]
[u'brassiere', 0.77727884, u'bikini', 0.12716447, u'maillot', 0.067070358, u'maillot', 0.023569362, u'miniskirt', 0.00085760397]
[u'Italian_greyhound', 0.082631662, u'Brittany_spaniel', 0.062154926, u'basenji', 0.058084991, u'whippet', 0.046576314, u'pug', 0.043144416]
[u'bikini', 0.50159281, u'brassiere', 0.27974534, u'maillot', 0.040199317, u'maillot', 0.019709017, u'miniskirt', 0.014001532]
[u'breastplate', 0.19882084, u'hoopskirt', 0.16992511, u'bow', 0.12468164, u'gown', 0.074202508, u'gasmask', 0.057366442]
[u'wig', 0.06963177, u'hair_slide', 0.059577983, u'mailbag', 0.048029792, u'muzzle', 0.044941209, u'lipstick', 0.044366382]
[u'dumbbell', 0.29814133, u'parallel_bars', 0.099678725, u'pole', 0.095651612, u'pedestal', 0.06758114, u'vizsla', 0.051250424]
[u'swimming_trunks', 0.41300046, u'bikini', 0.17314078, u'maillot', 0.17102459, u'bathing_cap', 0.12831806, u'maillot', 0.052198913]
[u'swimming_trunks', 0.67209125, u'mortarboard', 0.045090992, u'hammerhead', 0.021092545, u'sweatshirt', 0.013788287, u'breastplate', 0.010654832]
[u'bikini', 0.24657768, u'refrigerator', 0.14333168, u'tub', 0.081972167, u'barbell', 0.066547439, u'maillot', 0.060072403]
[u'horizontal_bar', 0.38095507, u'parallel_bars', 0.16856532, u'swimming_trunks', 0.12206307, u'barbell', 0.078913257, u'bikini', 0.055028737]
[u'diaper', 0.4554899, u'theater_curtain', 0.070137806, u'quilt', 0.040329468, u'jean', 0.020988062, u'groom', 0.018860923]
[u'bikini', 0.33244398, u'tub', 0.079022184, u'swimming_trunks', 0.062461484, u'diaper', 0.061050944, u'bathtub', 0.049719341]
[u"potter's_wheel", 0.14782688, u'bikini', 0.071414635, u'iron', 0.067255706, u'maillot', 0.061183579, u'comic_book', 0.053746048]
[u'bikini', 0.51167244, u'brassiere', 0.22822578, u'maillot', 0.11861774, u'maillot', 0.10040198, u'miniskirt', 0.016189536]
[u'maillot', 0.30055338, u'sliding_door', 0.087042637, u'maillot', 0.081213795, u'gown', 0.071180716, u'diaper', 0.049508851]
[u'bikini', 0.46809694, u'tub', 0.16294347, u'maillot', 0.072615303, u'swimming_trunks', 0.071021982, u'maillot', 0.045437381]
[u'maillot', 0.14591497, u'television', 0.14002641, u'maillot', 0.11001977, u'swimming_trunks', 0.093304038, u'bikini', 0.074818194]
[u'maillot', 0.30649653, u'maillot', 0.19460249, u'bikini', 0.17467177, u'brassiere', 0.11125305, u'swimming_trunks', 0.063415229]
[u'swimming_trunks', 0.3256821, u'brassiere', 0.097925156, u'diaper', 0.073509596, u'dumbbell', 0.033330657, u'bathing_cap', 0.031442527]
[u'throne', 0.10493919, u'shoji', 0.097465597, u'wardrobe', 0.051856946, u'television', 0.04827702, u'four-poster', 0.039940335]
[u'tub', 0.17617853, u'barbell', 0.08903911, u'swimming_trunks', 0.080211848, u'bathing_cap', 0.063734867, u'bikini', 0.054629322]
[u'barbell', 0.24795839, u'sombrero', 0.20789683, u'cowboy_hat', 0.16645345, u'triceratops', 0.037854705, u'pole', 0.029994154]
[u'bathing_cap', 0.36045375, u'swimming_trunks', 0.34664598, u'volleyball', 0.12278847, u'punching_bag', 0.022319408, u'dumbbell', 0.0204452]
[u'groom', 0.25978491, u'gown', 0.20423485, u'hoopskirt', 0.12874949, u'bonnet', 0.085576929, u'bikini', 0.062948942]
[u'hoopskirt', 0.12348915, u'hair_spray', 0.10346243, u'brassiere', 0.102791, u'bikini', 0.10028248, u'iron', 0.067431338]
[u'comic_book', 0.99660265, u'web_site', 0.0014695291, u'book_jacket', 0.0012067503, u'brassiere', 0.00031604766, u'knee_pad', 6.5100066e-05]
[u'swimming_trunks', 0.14250578, u'sliding_door', 0.055045683, u'crutch', 0.043348014, u'barbell', 0.035849754, u'window_screen', 0.031091027]
[u'bikini', 0.67448455, u'maillot', 0.12237944, u'maillot', 0.043745652, u'sarong', 0.030537859, u'brassiere', 0.014528511]
[u'altar', 0.27739412, u'groom', 0.073271304, u'gown', 0.057432763, u'spotlight', 0.056992233, u'theater_curtain', 0.054808427]
[u'diaper', 0.75554329, u'swimming_trunks', 0.21745603, u'brassiere', 0.0047450801, u'sunscreen', 0.0039139469, u'bathing_cap', 0.0027230936]
[u'brassiere', 0.3399325, u'sandal', 0.29017794, u'bikini', 0.12651826, u'maillot', 0.078981631, u'miniskirt', 0.056250665]
[u'miniskirt', 0.33687508, u'fur_coat', 0.21886934, u'maillot', 0.067312397, u'sandal', 0.037216019, u'bikini', 0.035321616]
[u'dumbbell', 0.19173555, u'diaper', 0.10413124, u'horizontal_bar', 0.10119656, u'maillot', 0.09298645, u'balance_beam', 0.072293438]
[u'throne', 0.2145631, u'theater_curtain', 0.070866287, u'cinema', 0.050754521, u'fire_screen', 0.046729151, u'turnstile', 0.043677714]
[u'brassiere', 0.13894443, u'maillot', 0.11283914, u'bikini', 0.1078226, u'maillot', 0.076732032, u'matchstick', 0.043013882]
[u'studio_couch', 0.14826189, u'tub', 0.070891269, u'English_setter', 0.038911428, u'German_short-haired_pointer', 0.036528707, u'bathtub', 0.026111182]
[u'swimming_trunks', 0.29485917, u'bikini', 0.26285538, u'sunscreen', 0.087802105, u'diaper', 0.05626104, u'tub', 0.042747989]
[u'swimming_trunks', 0.15030852, u'barbell', 0.13663277, u'bikini', 0.098962151, u'dumbbell', 0.093172789, u'theater_curtain', 0.072350763]
[u'bathtub', 0.28477103, u'tub', 0.092463568, u'gown', 0.056628484, u'hoopskirt', 0.045930225, u'brassiere', 0.038083702]
[u'brassiere', 0.27953023, u'hoopskirt', 0.20469698, u'bikini', 0.048793353, u'comic_book', 0.035336927, u'knee_pad', 0.02477893]
[u'horizontal_bar', 0.090591729, u'studio_couch', 0.069159694, u'bikini', 0.046094414, u'swimming_trunks', 0.03273787, u'pug', 0.026625996]
[u'swimming_trunks', 0.39319775, u'hand_blower', 0.079881296, u'brassiere', 0.066263974, u'bathtub', 0.056981705, u'dumbbell', 0.031703889]
[u'bikini', 0.50258583, u'maillot', 0.22893851, u'maillot', 0.080144159, u'bell_cote', 0.024763964, u'unicycle', 0.015340585]
[u'brassiere', 0.39336914, u'bikini', 0.12159505, u'television', 0.092325009, u'web_site', 0.042001192, u'comic_book', 0.027792508]
[u"potter's_wheel", 0.20861803, u'maillot', 0.043258023, u'space_bar', 0.037736453, u'restaurant', 0.034989893, u'barber_chair', 0.030489406]
[u'brassiere', 0.95894456, u'gown', 0.0069456929, u'miniskirt', 0.0051333052, u'maillot', 0.0051032277, u'maillot', 0.0033819403]
[u'diaper', 0.3184163, u'bath_towel', 0.22751391, u'swimming_trunks', 0.19086757, u'bathtub', 0.14352092, u'tub', 0.037328579]
[u'swimming_trunks', 0.62045032, u'bathing_cap', 0.07442376, u'bikini', 0.022563118, u'balance_beam', 0.020415353, u'pedestal', 0.01683576]
[u'brassiere', 0.73400444, u'bikini', 0.25708199, u'maillot', 0.0039439709, u'diaper', 0.0026957355, u'hoopskirt', 0.00037063874]
[u'swimming_trunks', 0.3711288, u'bikini', 0.042968284, u'dumbbell', 0.041390169, u'diaper', 0.038517606, u'maillot', 0.031377997]
[u'sleeping_bag', 0.170333, u'bubble', 0.10959143, u'sunscreen', 0.03223557, u'ice_lolly', 0.025763273, u'oxygen_mask', 0.022627864]
[u'bikini', 0.75134784, u'maillot', 0.10573964, u'maillot', 0.080810867, u'brassiere', 0.049879938, u'balance_beam', 0.0025228949]
[u'maillot', 0.26434439, u'maillot', 0.13352814, u'miniskirt', 0.076307304, u'wig', 0.070169717, u'mask', 0.06904193]
[u'comic_book', 0.33945289, u'web_site', 0.27834338, u'swimming_trunks', 0.08399605, u'book_jacket', 0.064785838, u'bathing_cap', 0.039291151]
[u'brassiere', 0.80285329, u'bikini', 0.14726643, u'diaper', 0.013239942, u'miniskirt', 0.0063491235, u'maillot', 0.003316144]
[u'bikini', 0.29269192, u'barbell', 0.15552638, u'dumbbell', 0.032601718, u'miniskirt', 0.029756861, u'maillot', 0.029631596]
