[u'bikini', 0.89934635, u'brassiere', 0.06189118, u'maillot', 0.013004448, u'diaper', 0.012252392, u'tub', 0.0081262812]
[u'hair_spray', 0.083492227, u'pinwheel', 0.071050197, u'sunscreen', 0.064779267, u'bubble', 0.050405465, u'bikini', 0.043885551]
[u'African_chameleon', 0.29912567, u'tree_frog', 0.28362542, u'American_chameleon', 0.089935012, u'tailed_frog', 0.088354953, u'bullfrog', 0.0568964]
[u'sunscreen', 0.30712804, u'swimming_trunks', 0.13248813, u'ice_lolly', 0.080538251, u'tub', 0.059499126, u'Band_Aid', 0.059379011]
[u'swimming_trunks', 0.74063897, u'bikini', 0.058394991, u'diaper', 0.03437569, u'sarong', 0.012911627, u'brassiere', 0.010222143]
[u'tub', 0.36236939, u'swimming_trunks', 0.17094491, u'bathtub', 0.16821684, u'sunscreen', 0.10236628, u'bikini', 0.0239376]
[u'balance_beam', 0.37605381, u'plane', 0.12163484, u'Weimaraner', 0.05466992, u'vizsla', 0.051213183, u'Chesapeake_Bay_retriever', 0.019853964]
[u'swimming_trunks', 0.33843002, u'maillot', 0.098422229, u'cowboy_boot', 0.038965262, u'dumbbell', 0.038213372, u'miniskirt', 0.027194666]
[u'fountain', 0.24577329, u'pedestal', 0.13498588, u'bathing_cap', 0.12975375, u'balloon', 0.074405372, u'maraca', 0.051992334]
[u'tub', 0.12891637, u'swimming_trunks', 0.11312434, u'sunscreen', 0.10660546, u'bathtub', 0.098697416, u'maillot', 0.084285468]
[u'maillot', 0.49762625, u'miniskirt', 0.28677255, u'maillot', 0.13891385, u'bikini', 0.018192865, u'fur_coat', 0.008216653]
[u'miniskirt', 0.21081901, u'wardrobe', 0.11651484, u'neck_brace', 0.070599832, u'chest', 0.051217146, u'tub', 0.046374518]
[u'miniskirt', 0.5237782, u'maillot', 0.054948911, u'maillot', 0.044074338, u'bikini', 0.043685373, u'swimming_trunks', 0.03864095]
[u'bathtub', 0.39376324, u'tub', 0.14403707, u'wig', 0.083897896, u'miniskirt', 0.077935427, u'maillot', 0.05075869]
[u'brassiere', 0.46317026, u'bikini', 0.33877018, u'maillot', 0.049698379, u'maillot', 0.022718882, u'clog', 0.020779794]
[u'hog', 0.38169083, u'swimming_trunks', 0.046795003, u'Weimaraner', 0.035361025, u'bikini', 0.026687946, u'butcher_shop', 0.024558481]
[u'groom', 0.15754867, u'wig', 0.10574382, u'tub', 0.092809424, u'bikini', 0.075679094, u'bathtub', 0.071158975]
[u'bathtub', 0.43102267, u'tub', 0.317509, u'swimming_trunks', 0.099039771, u'maillot', 0.038923819, u'bikini', 0.021393986]
[u'comic_book', 0.39151821, u'triceratops', 0.041355208, u'web_site', 0.039531097, u'upright', 0.032656215, u'brass', 0.030261699]
[u'comic_book', 0.14013328, u'sunglass', 0.058103573, u'fountain', 0.056363035, u'carousel', 0.053187758, u'maillot', 0.049131934]
[u'chain_mail', 0.91960406, u'maillot', 0.049308721, u'maillot', 0.013946323, u'snail', 0.004837933, u'tub', 0.0019683088]
[u'tub', 0.21084024, u'groom', 0.17888574, u'vault', 0.081911191, u'fountain', 0.052255645, u'triumphal_arch', 0.051725075]
[u'bikini', 0.92549419, u'maillot', 0.044124398, u'brassiere', 0.007582468, u'sunscreen', 0.0059133135, u'maillot', 0.0046923505]
[u'tub', 0.38493177, u'swimming_trunks', 0.15819398, u'brassiere', 0.13502869, u'bathtub', 0.082411677, u'bikini', 0.079444326]
[u'wig', 0.16727294, u'shower_cap', 0.09242183, u'tub', 0.08700031, u'gown', 0.074200727, u'brassiere', 0.070003182]
[u'Dungeness_crab', 0.55730343, u'rock_crab', 0.38315654, u'king_crab', 0.023910474, u'stretcher', 0.0093140732, u'fiddler_crab', 0.0038702844]
[u'bikini', 0.40427721, u'maillot', 0.22706029, u'brassiere', 0.058388811, u'maillot', 0.051830504, u'snorkel', 0.046383262]
[u"potter's_wheel", 0.18005385, u'butcher_shop', 0.081262112, u'tub', 0.075671688, u'bikini', 0.069103129, u'mask', 0.035181358]
[u'cuirass', 0.093763925, u'breastplate', 0.080697037, u'bikini', 0.074470602, u'revolver', 0.043179184, u'shield', 0.030374862]
[u'Great_Dane', 0.35842025, u'Weimaraner', 0.16307631, u'Italian_greyhound', 0.12697065, u'Mexican_hairless', 0.051232774, u'muzzle', 0.033406336]
[u'nipple', 0.20182738, u'bikini', 0.18089515, u'bathing_cap', 0.11594548, u'brassiere', 0.073799796, u'snorkel', 0.058403719]
[u'bikini', 0.14553049, u'maillot', 0.087906763, u'brassiere', 0.043720543, u'pinwheel', 0.042883806, u'maillot', 0.035045128]
[u'maillot', 0.24692445, u'maillot', 0.10932088, u'bikini', 0.078034654, u'swimming_trunks', 0.053855568, u'gown', 0.038462531]
[u'brassiere', 0.21195863, u'comic_book', 0.14935754, u'bikini', 0.14698364, u'tub', 0.12600493, u'maillot', 0.057723027]
[u'Weimaraner', 0.30204308, u'whippet', 0.082677796, u'Chihuahua', 0.044979937, u'Labrador_retriever', 0.041961972, u'tub', 0.03710857]
[u'cornet', 0.43025571, u'rugby_ball', 0.065380149, u'volleyball', 0.065043636, u'football_helmet', 0.06440527, u'cowboy_hat', 0.033919938]
[u'sunscreen', 0.11472006, u'tub', 0.11025127, u'wig', 0.10762409, u'hair_spray', 0.066507429, u'bathing_cap', 0.045536172]
[u'bikini', 0.52949178, u'swimming_trunks', 0.15592898, u'maillot', 0.1265564, u'maillot', 0.037409537, u'miniskirt', 0.019742245]
[u'boa_constrictor', 0.21470411, u'cuirass', 0.10889705, u'rock_python', 0.099594526, u'bikini', 0.072624698, u'sandal', 0.032641899]
[u'maillot', 0.59655362, u'miniskirt', 0.21880487, u'maillot', 0.12117653, u'bikini', 0.027080072, u'swimming_trunks', 0.02058908]
[u'brassiere', 0.12144892, u'diaper', 0.094484262, u'bathtub', 0.087024346, u'tub', 0.081805229, u'bikini', 0.043064769]
[u'maillot', 0.18826373, u'bathing_cap', 0.149009, u'bikini', 0.12041309, u'maillot', 0.10933883, u'swimming_trunks', 0.059161022]
[u'bikini', 0.65185344, u'tub', 0.23363623, u'maillot', 0.019820027, u'stingray', 0.013016799, u'maillot', 0.011172]
[u'maillot', 0.13924459, u'maillot', 0.12347332, u'swimming_trunks', 0.10290543, u'gown', 0.10256937, u'sarong', 0.088631719]
[u'flute', 0.0964422, u'window_screen', 0.089715317, u'seat_belt', 0.072821654, u'oboe', 0.053537089, u'ping-pong_ball', 0.048895814]
[u'swimming_trunks', 0.60217059, u'fountain', 0.19545795, u'pedestal', 0.024079312, u'Weimaraner', 0.015761597, u'sunscreen', 0.014022018]
[u'bookcase', 0.29328138, u'common_iguana', 0.1044018, u'frilled_lizard', 0.052957226, u'comic_book', 0.052888632, u'bookshop', 0.045914654]
[u'bikini', 0.14048928, u'scuba_diver', 0.089770995, u'brassiere', 0.034005072, u'knee_pad', 0.032330148, u'snorkel', 0.029196354]
