[u'bikini', 0.71233457, u'maillot', 0.12087978, u'maillot', 0.033514068, u'swimming_trunks', 0.029646406, u'bathing_cap', 0.019516598]
[u'comic_book', 0.20382634, u'brassiere', 0.17792043, u'conch', 0.093874142, u'triceratops', 0.08181522, u'tub', 0.023504799]
[u'maillot', 0.11066679, u'bathtub', 0.082327567, u"potter's_wheel", 0.074777342, u'tub', 0.047041502, u'maillot', 0.03878852]
[u'comic_book', 0.50592625, u'umbrella', 0.09785825, u'teddy', 0.067412004, u'toyshop', 0.033960253, u'bikini', 0.027877724]
[u'brassiere', 0.59899753, u'bikini', 0.14168079, u'maillot', 0.022966005, u'syringe', 0.019239968, u'web_site', 0.018318864]
[u'maillot', 0.29533312, u'bikini', 0.23512776, u'brassiere', 0.068937629, u'stage', 0.038549516, u'maillot', 0.031768989]
[u'maillot', 0.38639757, u'bikini', 0.34856084, u'gown', 0.11195162, u'maillot', 0.073495112, u'brassiere', 0.023421885]
[u'maraca', 0.86837453, u'drumstick', 0.033218745, u'sombrero', 0.024543561, u'banjo', 0.0061690002, u'slot', 0.0056655509]
[u'comic_book', 0.41118836, u'knee_pad', 0.062955089, u'butcher_shop', 0.044966646, u'maillot', 0.027984897, u'projectile', 0.025115227]
[u'punching_bag', 0.29512545, u'brassiere', 0.13774015, u'butcher_shop', 0.058889024, u'bikini', 0.054218706, u'comic_book', 0.028573729]
[u'swimming_trunks', 0.54190028, u'bikini', 0.31517017, u'maillot', 0.024414821, u'dumbbell', 0.01824245, u'vizsla', 0.013375704]
[u'dumbbell', 0.052949902, u'gasmask', 0.047701471, u'throne', 0.045025315, u'vault', 0.040819291, u'miniskirt', 0.033866111]
[u'television', 0.78679651, u'home_theater', 0.053804196, u'screen', 0.051573079, u'monitor', 0.043069433, u'entertainment_center', 0.014274787]
[u'barbershop', 0.11507341, u'Band_Aid', 0.097583368, u'comic_book', 0.066168845, u'limousine', 0.044077724, u'tobacco_shop', 0.030068303]
[u'fountain', 0.28015068, u'pajama', 0.1550353, u'teddy', 0.1033819, u'jay', 0.065629736, u'ballplayer', 0.061076585]
[u'bikini', 0.86743271, u'maillot', 0.047953937, u'maillot', 0.025309261, u'swimming_trunks', 0.020175129, u'miniskirt', 0.012711692]
[u'piggy_bank', 0.18817416, u'hog', 0.15989564, u'swimming_trunks', 0.14860341, u'bikini', 0.096506923, u'sunscreen', 0.038304932]
[u'dumbbell', 0.41720772, u'punching_bag', 0.06176044, u'prison', 0.044725183, u'breastplate', 0.030843589, u'revolver', 0.016073758]
[u'bikini', 0.48166355, u'brassiere', 0.14420433, u'maillot', 0.11234511, u'swimming_trunks', 0.048835807, u'maillot', 0.047564197]
[u'wig', 0.30318713, u'bikini', 0.12765916, u'miniskirt', 0.11606716, u'maillot', 0.097719423, u'brassiere', 0.062771372]
[u'piggy_bank', 0.20504276, u'toyshop', 0.060351949, u'comic_book', 0.059511695, u'syringe', 0.050624944, u'teddy', 0.036941711]
[u'comic_book', 0.9975884, u'book_jacket', 0.002079213, u'carousel', 2.819449e-05, u'parachute', 2.558039e-05, u'balloon', 2.5394129e-05]
[u'comic_book', 0.39158633, u'bikini', 0.094262391, u'web_site', 0.051742587, u'stethoscope', 0.043885984, u'brassiere', 0.042531412]
[u'carousel', 0.37940878, u'bikini', 0.08639323, u'maillot', 0.073912822, u'bicycle-built-for-two', 0.023696998, u'miniskirt', 0.014730859]
[u'conch', 0.34416649, u'fiddler_crab', 0.23879446, u'brassiere', 0.054798152, u'hermit_crab', 0.038044076, u'scorpion', 0.028811513]
