[u'washer', 0.25785312, u'cowboy_hat', 0.074752972, u'pajama', 0.051526845, u'refrigerator', 0.040638436, u'photocopier', 0.036415569]
[u'bikini', 0.77618396, u'brassiere', 0.12006379, u'maillot', 0.077180788, u'diaper', 0.017026847, u'gown', 0.0030259429]
[u'diaper', 0.63914126, u'bath_towel', 0.081046566, u'brassiere', 0.039690387, u'gown', 0.025463063, u'hoopskirt', 0.020548787]
[u'maillot', 0.60560066, u'maillot', 0.17925045, u'swimming_trunks', 0.13051784, u'bikini', 0.024921551, u'sarong', 0.01532638]
[u'diaper', 0.35790297, u'miniskirt', 0.20178907, u'brassiere', 0.0526703, u'cowboy_boot', 0.026332313, u'sunscreen', 0.019849082]
[u'grand_piano', 0.16508408, u'barbell', 0.11018585, u'upright', 0.053167399, u'studio_couch', 0.049119152, u'cello', 0.038327854]
[u'miniskirt', 0.57705474, u'seat_belt', 0.052531082, u'fur_coat', 0.034586553, u'stethoscope', 0.028837083, u'swimming_trunks', 0.023970546]
[u'maillot', 0.42702651, u'bikini', 0.21942776, u'maillot', 0.20024659, u'miniskirt', 0.023436271, u'feather_boa', 0.018412312]
[u'balance_beam', 0.44110474, u'barbell', 0.11182781, u'punching_bag', 0.075365879, u'dumbbell', 0.068491563, u'horizontal_bar', 0.041283231]
[u'bikini', 0.38433778, u'maillot', 0.15094711, u'diaper', 0.12678164, u'miniskirt', 0.057709992, u'tub', 0.048425835]
[u'neck_brace', 0.20360707, u'miniskirt', 0.098668218, u'knee_pad', 0.090601698, u'swing', 0.076148346, u'cowboy_boot', 0.069166839]
[u'diaper', 0.56893682, u'carton', 0.12762931, u'quill', 0.063393176, u'envelope', 0.021643113, u'paper_towel', 0.021471081]
[u'miniskirt', 0.18867841, u'maillot', 0.14712827, u'sunscreen', 0.10610581, u'maillot', 0.10343261, u'Band_Aid', 0.035844468]
[u'lab_coat', 0.43924561, u'toilet_tissue', 0.17188889, u'bath_towel', 0.027931748, u'iron', 0.027914839, u'wardrobe', 0.022051455]
[u'miniskirt', 0.97232515, u'diaper', 0.0035975892, u'brassiere', 0.0032568562, u'tub', 0.0017712557, u'cowboy_boot', 0.0017342754]
[u'diaper', 0.88937765, u'bath_towel', 0.023315575, u'swimming_trunks', 0.019395841, u'tub', 0.012806512, u'studio_couch', 0.008903374]
[u'ice_lolly', 0.846147, u'nipple', 0.01770022, u'sunscreen', 0.015421271, u'studio_couch', 0.0097456053, u'syringe', 0.0096860128]
[u'miniskirt', 0.4247283, u'bathtub', 0.17455284, u'jean', 0.067210108, u'maillot', 0.054044303, u'tub', 0.049548078]
[u'miniskirt', 0.99629897, u'jean', 0.0032400878, u'cowboy_boot', 0.00013074088, u'maillot', 4.4129363e-05, u'maillot', 3.2287455e-05]
[u'apron', 0.14308035, u'brassiere', 0.13866924, u'jersey', 0.047438897, u'Christmas_stocking', 0.047408212, u'spatula', 0.031463601]
[u'diaper', 0.71280384, u'swimming_trunks', 0.10987535, u'jean', 0.03334941, u'rocking_chair', 0.021324903, u'miniskirt', 0.010886596]
[u'bikini', 0.65857071, u'tub', 0.13314733, u'bathtub', 0.060486514, u'maillot', 0.053946864, u'brassiere', 0.010302216]
[u'miniskirt', 0.90090108, u'jean', 0.031037558, u'brassiere', 0.019449146, u'balance_beam', 0.0085658757, u'knee_pad', 0.0039176242]
[u'lotion', 0.10326596, u'bathtub', 0.098801434, u'hog', 0.060412813, u'tub', 0.049761519, u'hammerhead', 0.049681313]
[u'maillot', 0.33997223, u'maillot', 0.19030653, u'apron', 0.090576507, u'gown', 0.043753557, u'miniskirt', 0.04017764]
[u'sports_car', 0.060643431, u'car_wheel', 0.055641424, u'sunglasses', 0.047725551, u'catamaran', 0.037502553, u'shield', 0.036542825]
[u'studio_couch', 0.16507146, u'wardrobe', 0.09166003, u'shoe_shop', 0.066166185, u'jean', 0.046991486, u'four-poster', 0.044842858]
[u'miniskirt', 0.18258302, u'shoe_shop', 0.093954228, u'jean', 0.067346789, u'sandal', 0.060455751, u'pajama', 0.050350878]
