[u'balance_beam', 0.5097822, u'horizontal_bar', 0.06334696, u'barbell', 0.054047998, u'maillot', 0.045355607, u'bikini', 0.043658055]
[u'guillotine', 0.79138184, u'table_lamp', 0.04494511, u'prison', 0.021624273, u'lampshade', 0.015989859, u'hog', 0.010692996]
[u'lifeboat', 0.11747403, u'sandal', 0.10972822, u'bikini', 0.051666446, u'go-kart', 0.050121769, u'crash_helmet', 0.047554687]
[u'maillot', 0.28188246, u'bikini', 0.24070801, u'brassiere', 0.087149233, u'maillot', 0.065439984, u'maraca', 0.026948815]
[u'fly', 0.84657431, u'rhinoceros_beetle', 0.072703309, u'bikini', 0.043002758, u'ground_beetle', 0.016061112, u'maillot', 0.0053636874]
[u'fountain', 0.47693482, u'bathing_cap', 0.099565312, u'snorkel', 0.03728883, u'mask', 0.023698753, u'bikini', 0.020874443]
[u'maillot', 0.65138197, u'bikini', 0.18420565, u'brassiere', 0.072059304, u'maillot', 0.035958547, u'swimming_trunks', 0.0077848244]
[u'cucumber', 0.31887695, u'bell_pepper', 0.1053075, u'zucchini', 0.097721197, u'comic_book', 0.066756472, u'mask', 0.052511562]
[u'custard_apple', 0.34110981, u'gong', 0.041831847, u'brassiere', 0.030329878, u'feather_boa', 0.030121343, u'digital_clock', 0.027945364]
[u'bikini', 0.53613836, u'maillot', 0.26700792, u'miniskirt', 0.094988853, u'maillot', 0.074708775, u'brassiere', 0.0099475663]
[u'brassiere', 0.48485073, u'hoopskirt', 0.12039448, u'maillot', 0.1094894, u'bikini', 0.10261309, u'maillot', 0.019750221]
[u'miniskirt', 0.11844299, u'sunglass', 0.096783631, u'shoe_shop', 0.072891183, u'sandal', 0.045203626, u'tile_roof', 0.043879114]
[u'dumbbell', 0.54289997, u'swing', 0.093524352, u'oxygen_mask', 0.062484212, u'barbell', 0.052874982, u'neck_brace', 0.027839279]
[u'swimming_trunks', 0.80638677, u'bathtub', 0.035006437, u'barbell', 0.032403369, u'dumbbell', 0.028619582, u'bikini', 0.016928798]
[u'swimming_trunks', 0.69072878, u'bathing_cap', 0.18794434, u'tub', 0.02100963, u'bikini', 0.0074073076, u'dumbbell', 0.0073272372]
[u'green_mamba', 0.68582797, u'vine_snake', 0.19932616, u'green_snake', 0.065575764, u'green_lizard', 0.023015305, u'oxygen_mask', 0.0079734717]
[u'barn_spider', 0.44179216, u'solar_dish', 0.21063775, u'garden_spider', 0.13491786, u'black_and_gold_garden_spider', 0.10819615, u'spider_web', 0.012021009]
[u'tub', 0.54806846, u'bathtub', 0.23393801, u'brassiere', 0.058719616, u'bikini', 0.033716656, u'bath_towel', 0.02231757]
[u'maillot', 0.22993948, u'neck_brace', 0.17821717, u'miniskirt', 0.094571568, u'maillot', 0.054242823, u'bulletproof_vest', 0.047797684]
[u'green_mamba', 0.39261076, u'green_snake', 0.16682997, u'vine_snake', 0.09730345, u'snorkel', 0.04651485, u'plunger', 0.031348396]
[u'volleyball', 0.91571772, u'barbell', 0.026610035, u'dumbbell', 0.014475561, u'bikini', 0.0092074675, u'redbone', 0.0063090376]
[u'hog', 0.25825328, u'rotisserie', 0.084826954, u'comic_book', 0.078706414, u'bakery', 0.06375201, u'brassiere', 0.031412743]
