[u'palace', 0.42256004, u'fountain', 0.12976, u'park_bench', 0.1089034, u'picket_fence', 0.072786264, u'lakeside', 0.027596096]
[u'rapeseed', 0.95643979, u'chainlink_fence', 0.0058043986, u'valley', 0.0027274939, u'lakeside', 0.0023876859, u'park_bench', 0.0023252326]
[u'gondola', 0.33989999, u'seashore', 0.31620887, u'dock', 0.044508558, u'boathouse', 0.024557091, u'lakeside', 0.023192916]
[u'streetcar', 0.16105711, u'gondola', 0.14548369, u'cab', 0.12615095, u'umbrella', 0.052223079, u'parking_meter', 0.039359607]
[u'castle', 0.36132032, u'church', 0.21340823, u'rapeseed', 0.11918285, u'lakeside', 0.079320461, u'seashore', 0.057751406]
[u'military_uniform', 0.44048002, u'stage', 0.18926336, u'suit', 0.053280983, u'cornet', 0.037752703, u'bearskin', 0.027673146]
[u'Arabian_camel', 0.1139994, u'cowboy_boot', 0.091298021, u'theater_curtain', 0.08985284, u'stage', 0.082268313, u'academic_gown', 0.049290307]
[u'academic_gown', 0.68826938, u'mortarboard', 0.21800132, u'vestment', 0.031846046, u'bearskin', 0.027814869, u'theater_curtain', 0.0085975602]
[u'stage', 0.22685105, u'theater_curtain', 0.16752347, u'cinema', 0.10730646, u'academic_gown', 0.070073336, u'library', 0.061024811]
[u'academic_gown', 0.3219755, u'bearskin', 0.21908839, u'military_uniform', 0.16895983, u'kimono', 0.079031363, u'mortarboard', 0.06418547]
[u'oboe', 0.30897939, u'mortarboard', 0.23088934, u'stage', 0.10040079, u'bassoon', 0.094968937, u'academic_gown', 0.092643708]
[u'fountain', 0.25879419, u'jigsaw_puzzle', 0.1671776, u'seashore', 0.071528524, u'castle', 0.06415087, u'hook', 0.050512806]
[u'jigsaw_puzzle', 0.76307696, u'castle', 0.20307803, u'palace', 0.014186537, u'fountain', 0.0085083311, u'church', 0.0030960354]
[u'palace', 0.3587724, u'theater_curtain', 0.23213932, u'altar', 0.087027438, u'church', 0.071623899, u'vault', 0.059014168]
[u'palace', 0.52482694, u'castle', 0.37287176, u'fountain', 0.027964925, u'pedestal', 0.0092960251, u'monastery', 0.0062996438]
[u'church', 0.66163093, u'altar', 0.31316006, u'vestment', 0.015749341, u'throne', 0.0035510969, u'library', 0.0012048562]
