[u'revolver', 0.11199117, u'bow', 0.056641676, u'perfume', 0.048014581, u'power_drill', 0.041203156, u'bikini', 0.035844382]
[u'maillot', 0.1714242, u'barbell', 0.16228677, u'horizontal_bar', 0.11300189, u'bikini', 0.083797634, u'vacuum', 0.037833098]
[u'crutch', 0.25132844, u'oxygen_mask', 0.056522395, u'suit', 0.031292472, u'military_uniform', 0.02980186, u'projectile', 0.028445082]
[u'diaper', 0.2762233, u'gown', 0.17934674, u'toilet_tissue', 0.076287813, u'swimming_trunks', 0.065831222, u'brassiere', 0.065687917]
[u'sunscreen', 0.15602064, u'brassiere', 0.14562285, u'Windsor_tie', 0.05917969, u'bikini', 0.048142232, u'lotion', 0.042431805]
[u'swing', 0.44675797, u'parachute', 0.21143965, u'plastic_bag', 0.085609257, u'balloon', 0.034116104, u'stretcher', 0.0098892394]
[u'chime', 0.12930843, u'picket_fence', 0.12070286, u'screwdriver', 0.07450936, u'strainer', 0.027181868, u'modem', 0.026555326]
[u'brassiere', 0.19319937, u'bikini', 0.17633027, u'syringe', 0.10074951, u'hair_spray', 0.051130451, u'maillot', 0.048056398]
[u'swimming_trunks', 0.17008553, u'dumbbell', 0.15636426, u'barbell', 0.13281211, u'parallel_bars', 0.11584897, u'horizontal_bar', 0.10114408]
[u'pole', 0.26720813, u'bikini', 0.15306295, u'sandal', 0.078522786, u'maillot', 0.077861287, u'brassiere', 0.05707879]
[u'sea_lion', 0.41567799, u'bikini', 0.1770487, u'orangutan', 0.027799468, u'breastplate', 0.026609024, u'stretcher', 0.020171897]
[u'bathtub', 0.15341139, u'diaper', 0.1138454, u'tub', 0.082573503, u'barbell', 0.064378932, u'bath_towel', 0.063000031]
[u'pole', 0.16181575, u'brassiere', 0.14529173, u'medicine_chest', 0.071855307, u'shower_curtain', 0.057230823, u'hand_blower', 0.053397823]
