[u'cowboy_boot', 0.11690944, u'sock', 0.097914949, u'harp', 0.085222885, u'Indian_elephant', 0.062741593, u'clog', 0.060876634]
[u'prayer_rug', 0.99942929, u'jigsaw_puzzle', 0.00045312161, u'dishrag', 4.1618008e-05, u'doormat', 2.5209976e-05, u'window_screen', 8.6267628e-06]
[u'prayer_rug', 0.99500221, u'handkerchief', 0.0025897729, u'dishrag', 0.00086945388, u'doormat', 0.00068251567, u'honeycomb', 0.00030830182]
[u'prayer_rug', 0.66038716, u'tray', 0.098500058, u'dishrag', 0.053362578, u'window_screen', 0.048489276, u'brass', 0.047463648]
[u'fountain', 0.25415596, u'web_site', 0.066423699, u'gown', 0.062675968, u'candle', 0.044274613, u'abaya', 0.029819459]
[u'prayer_rug', 0.9988417, u'doormat', 0.00037117308, u'pillow', 0.00019764921, u'binder', 0.00019215277, u'dishrag', 0.0001293744]
[u'prayer_rug', 0.99999785, u'doormat', 6.7367301e-07, u'brass', 2.7953305e-07, u'padlock', 2.4095462e-07, u'jigsaw_puzzle', 1.0894639e-07]
[u'prayer_rug', 0.99594301, u'jigsaw_puzzle', 0.0027863386, u'dishrag', 0.00052495592, u'brass', 0.00020077333, u'tray', 9.3541705e-05]
[u'prayer_rug', 0.99529123, u'doormat', 0.0017666555, u'brass', 0.0005851771, u'dishrag', 0.00048453562, u'shower_curtain', 0.00046765126]
[u'prayer_rug', 0.91559756, u'dishrag', 0.037320428, u'doormat', 0.028187465, u'tray', 0.0084905913, u'jigsaw_puzzle', 0.00386468]
[u'prayer_rug', 0.90089113, u'brass', 0.079790518, u'tray', 0.0054966318, u'dishrag', 0.0015417265, u'sundial', 0.0011030261]
[u'prayer_rug', 0.99999702, u'jigsaw_puzzle', 2.1387675e-06, u'padlock', 2.6326802e-07, u'brass', 1.1195274e-07, u'vestment', 6.6424882e-08]
[u'prayer_rug', 0.99989998, u'dishrag', 3.9012204e-05, u'jigsaw_puzzle', 1.3597269e-05, u'brass', 1.1355516e-05, u'tray', 7.3195861e-06]
[u'prayer_rug', 0.61970633, u'dishrag', 0.35326442, u'tray', 0.024087174, u'brass', 0.00034968805, u'bib', 0.00034485717]
[u'book_jacket', 0.32547885, u'comic_book', 0.10679886, u'web_site', 0.055993564, u'fountain', 0.034196235, u'kimono', 0.03190738]
[u'prayer_rug', 0.94219023, u'tray', 0.0205417, u'brass', 0.016312797, u'window_screen', 0.0055222204, u'dishrag', 0.0048118099]
[u'prayer_rug', 0.99988329, u'binder', 1.5585027e-05, u'doormat', 1.5457492e-05, u'jigsaw_puzzle', 1.5179623e-05, u'honeycomb', 1.1998305e-05]
[u'prayer_rug', 0.99999404, u'jigsaw_puzzle', 5.3408157e-06, u'doormat', 1.8230756e-07, u'brass', 1.0097326e-07, u'chainlink_fence', 7.762663e-08]
[u'panpipe', 0.18875217, u'gown', 0.17234664, u'stole', 0.15710923, u'cloak', 0.10463814, u'swab', 0.048974629]
[u'prayer_rug', 0.99997544, u'window_screen', 5.1060174e-06, u'doormat', 2.4778531e-06, u'dishrag', 2.1671578e-06, u'binder', 2.1191959e-06]
