[u'quilt', 0.66872299, u'studio_couch', 0.059016258, u'comic_book', 0.054625269, u'pillow', 0.033456516, u'balloon', 0.017150125]
[u'wig', 0.22730955, u'maillot', 0.094541982, u'bikini', 0.087908186, u'brassiere', 0.062752359, u'television', 0.056537699]
[u'comic_book', 0.57672, u'web_site', 0.24918248, u'book_jacket', 0.09152279, u'bikini', 0.013976891, u'diaper', 0.0073948707]
[u'comic_book', 0.33300784, u'book_jacket', 0.079772741, u'ski', 0.069599926, u'parachute', 0.035998251, u'punching_bag', 0.016193382]
[u'piggy_bank', 0.58391678, u'rain_barrel', 0.1306458, u'balloon', 0.02174644, u'punching_bag', 0.0210829, u'candle', 0.020540494]
[u'swimming_trunks', 0.23325795, u'prison', 0.09042801, u'window_screen', 0.07551264, u'dumbbell', 0.039772317, u'toaster', 0.037379742]
[u'comic_book', 0.75049347, u'bicycle-built-for-two', 0.1005413, u'breastplate', 0.03197252, u'paddle', 0.012231979, u'bow', 0.011704316]
[u'miniskirt', 0.32658628, u'maillot', 0.24974796, u'brassiere', 0.21877673, u'bikini', 0.12523624, u'maillot', 0.034634758]
[u'bikini', 0.15730858, u'plunger', 0.13918969, u'Dungeness_crab', 0.097682662, u'king_crab', 0.084955946, u'American_lobster', 0.081080846]
[u'maillot', 0.48777267, u'bikini', 0.15311329, u'maillot', 0.11480425, u'swimming_trunks', 0.052214839, u'tub', 0.032850776]
[u'comic_book', 0.96475142, u'jigsaw_puzzle', 0.014504417, u'slot', 0.0090466365, u'envelope', 0.0028915394, u'toilet_seat', 0.002858198]
[u'sliding_door', 0.39511228, u'miniskirt', 0.28997236, u'brassiere', 0.064711578, u'wardrobe', 0.060460478, u'pole', 0.031574346]
[u'comic_book', 0.99367672, u'book_jacket', 0.0030569225, u'breastplate', 0.00069400913, u'jigsaw_puzzle', 0.00028427163, u'motor_scooter', 0.0001385506]
[u'maillot', 0.38283259, u'miniskirt', 0.25798601, u'comic_book', 0.10048385, u'mask', 0.032031536, u'feather_boa', 0.028745897]
[u'bikini', 0.27827922, u'dumbbell', 0.23161091, u'barbell', 0.20435518, u'maillot', 0.081421025, u'parallel_bars', 0.034270391]
[u'wig', 0.32713783, u'tub', 0.20063725, u'bathtub', 0.10562017, u'bikini', 0.075180151, u'bath_towel', 0.049172871]
[u'bikini', 0.43934125, u'swimming_trunks', 0.18349293, u'maillot', 0.17871627, u'sunscreen', 0.036838744, u'maillot', 0.034893755]
[u'trombone', 0.18727745, u'syringe', 0.083509482, u'sax', 0.038141526, u'miniskirt', 0.038016949, u'sunglass', 0.036977816]
[u'cowboy_boot', 0.73604721, u'knee_pad', 0.024551407, u'mitten', 0.023641815, u'clog', 0.022218563, u'teddy', 0.019107841]
