[u'bikini', 0.84113085, u'sarong', 0.04829957, u'maillot', 0.044994138, u'maillot', 0.038040638, u'brassiere', 0.012022415]
[u'bikini', 0.45802811, u'tub', 0.2367799, u'brassiere', 0.041325305, u'swimming_trunks', 0.040156055, u'bathtub', 0.0378123]
[u'cardigan', 0.23569499, u'pajama', 0.17757408, u'maillot', 0.10928541, u'sombrero', 0.092917532, u'stole', 0.038705785]
[u'punching_bag', 0.70874137, u'brassiere', 0.16669565, u'maillot', 0.03863186, u'knee_pad', 0.019888595, u'unicycle', 0.0079684565]
[u'bikini', 0.34497973, u'maillot', 0.30278328, u'brassiere', 0.1944416, u'maillot', 0.02245705, u'balance_beam', 0.019347688]
[u'loudspeaker', 0.28299734, u'upright', 0.25032157, u'binder', 0.088349164, u'monitor', 0.071459442, u'screen', 0.036323994]
[u'brassiere', 0.60493183, u'bikini', 0.19461857, u'maillot', 0.076254725, u'barbell', 0.036175821, u'dumbbell', 0.015878404]
[u'modem', 0.93235606, u'switch', 0.0091575719, u'desktop_computer', 0.0080484487, u'space_heater', 0.0055561075, u'loudspeaker', 0.0053984816]
[u'bikini', 0.51630038, u'diaper', 0.19957387, u'brassiere', 0.077659503, u'barbell', 0.051898412, u'swimming_trunks', 0.016254373]
[u'bikini', 0.26662681, u'maillot', 0.13790596, u'tub', 0.082592249, u'maillot', 0.067294538, u'brassiere', 0.064588152]
[u'tub', 0.47610551, u'bathtub', 0.41199529, u'bikini', 0.03316237, u'maillot', 0.019249275, u'swimming_trunks', 0.017128268]
[u'bikini', 0.38647693, u'maillot', 0.13053919, u'swimming_trunks', 0.076792456, u'conch', 0.066078193, u'brassiere', 0.047674242]
[u'velvet', 0.5013023, u'wool', 0.1050958, u'ladle', 0.079607785, u'organ', 0.039684083, u'sea_snake', 0.025386998]
[u'brassiere', 0.79123235, u'bikini', 0.093729138, u'maillot', 0.056751549, u'sarong', 0.0069062742, u'tub', 0.0050907503]
