[u'bikini', 0.7733348, u'maillot', 0.050599936, u'swimming_trunks', 0.049904037, u'brassiere', 0.024358774, u'maillot', 0.0096574156]
[u'brassiere', 0.94633579, u'maillot', 0.026104759, u'breastplate', 0.012799564, u'bikini', 0.0048690801, u'cuirass', 0.0044835112]
[u'cucumber', 0.11566208, u'sandal', 0.056750737, u'maillot', 0.053243764, u'miniskirt', 0.049754135, u'centipede', 0.044139959]
[u'chimpanzee', 0.16822356, u'Indian_elephant', 0.087315485, u'beaver', 0.074646831, u'orangutan', 0.066730157, u'gorilla', 0.060215946]
[u'swimming_trunks', 0.25835195, u'maillot', 0.17384824, u'maillot', 0.17137559, u'bikini', 0.16996314, u'bathing_cap', 0.048952743]
[u'toyshop', 0.35140586, u'bikini', 0.16483276, u'diaper', 0.11567179, u'earthstar', 0.11085604, u'brassiere', 0.07714358]
[u'slot', 0.83838677, u'vending_machine', 0.0094854962, u'beer_glass', 0.0079450207, u'soap_dispenser', 0.007080371, u'pop_bottle', 0.0067946184]
[u'swimming_trunks', 0.52413154, u'bikini', 0.10451845, u'bathing_cap', 0.060771711, u'fountain', 0.049427338, u'sarong', 0.033069804]
[u'comic_book', 0.19348475, u'banjo', 0.074003823, u'book_jacket', 0.042062264, u'abaya', 0.034027006, u'rock_python', 0.019139562]
[u'fountain', 0.41219652, u'maillot', 0.089770027, u'breastplate', 0.077328026, u'wig', 0.065993465, u'cuirass', 0.065601602]
[u'miniskirt', 0.20762134, u'maillot', 0.14900656, u'barber_chair', 0.039545324, u'bikini', 0.036603875, u'golfcart', 0.034715805]
[u'green_mamba', 0.26144308, u'vine_snake', 0.2435535, u'green_lizard', 0.10330777, u'oxygen_mask', 0.065899797, u'African_chameleon', 0.055011079]
[u'flute', 0.10762567, u'window_screen', 0.096085615, u'seat_belt', 0.070494816, u'ping-pong_ball', 0.049455024, u'oboe', 0.047120385]
[u'vault', 0.30212325, u'prison', 0.061478864, u'monastery', 0.053998925, u'bubble', 0.052486032, u'fountain', 0.050502598]
[u'swimming_trunks', 0.24550709, u'screen', 0.10351983, u'monitor', 0.073249698, u'television', 0.063180849, u'laptop', 0.042371485]
[u'organ', 0.082110777, u'house_finch', 0.065258905, u'tub', 0.06479717, u'bikini', 0.047242612, u'maillot', 0.040709909]
[u'stretcher', 0.10258667, u'tile_roof', 0.076838411, u'comic_book', 0.066891082, u'axolotl', 0.04689458, u'bikini', 0.028504316]
[u'bikini', 0.20329641, u'American_lobster', 0.074423499, u'crayfish', 0.070997857, u'strawberry', 0.067850217, u'wig', 0.057909805]
[u'knee_pad', 0.26843333, u'maillot', 0.090842217, u'bathtub', 0.089761056, u'European_fire_salamander', 0.045053136, u'tub', 0.043403894]
[u'custard_apple', 0.70264006, u'digital_clock', 0.078869373, u'tailed_frog', 0.014978557, u'brassiere', 0.014725902, u'bullfrog', 0.010957089]
[u'knee_pad', 0.48397216, u'miniskirt', 0.15850557, u'pole', 0.063830763, u'theater_curtain', 0.045083575, u'breastplate', 0.032811072]
