[u'bikini', 0.56689721, u'brassiere', 0.088170491, u'groom', 0.062716745, u'diaper', 0.041279811, u'maillot', 0.015643667]
[u'bikini', 0.57753843, u'maillot', 0.34945393, u'maillot', 0.061479673, u'brassiere', 0.0055434066, u'comic_book', 0.0025841114]
[u'comic_book', 0.87916946, u'cinema', 0.031179966, u'bikini', 0.015061838, u'web_site', 0.0094366912, u'maillot', 0.0078089642]
[u'bikini', 0.30730218, u'maillot', 0.20702246, u'brassiere', 0.13095202, u'bathtub', 0.12664761, u'maillot', 0.051250108]
[u'comic_book', 0.64770502, u'brassiere', 0.088583015, u'bikini', 0.039209556, u'maillot', 0.02048122, u'sandal', 0.019431641]
[u'sandal', 0.13133043, u'cuirass', 0.12817615, u'miniskirt', 0.10176457, u'pole', 0.057444673, u'breastplate', 0.055288829]
[u'comic_book', 0.77961165, u'soap_dispenser', 0.031489592, u'pencil_box', 0.02780004, u'pajama', 0.019233694, u'coffee_mug', 0.018563204]
[u'studio_couch', 0.087167658, u'banjo', 0.083682306, u'shoji', 0.044044729, u'dining_table', 0.036257565, u'electric_guitar', 0.032353003]
[u'hair_spray', 0.19067775, u'brassiere', 0.075462244, u'diaper', 0.071299262, u'bikini', 0.068698667, u'sarong', 0.064679928]
[u'comic_book', 0.96541959, u'web_site', 0.016912643, u'book_jacket', 0.003665511, u'menu', 0.0027241714, u'toyshop', 0.0022789955]
[u'brassiere', 0.4494887, u'bikini', 0.067038827, u'breastplate', 0.062336117, u'carton', 0.038762521, u'cowboy_boot', 0.030797198]
[u'comic_book', 0.78338069, u'sandal', 0.023571059, u'cowboy_boot', 0.019590896, u'stethoscope', 0.016534565, u'nipple', 0.016118383]
[u'bikini', 0.84492815, u'maillot', 0.062106542, u'maillot', 0.039760586, u'gown', 0.013457702, u'cowboy_hat', 0.011443657]
[u'comic_book', 0.95727766, u'pencil_box', 0.015113455, u'Band_Aid', 0.0067100674, u'ballpoint', 0.0041737445, u'rubber_eraser', 0.0025418145]
[u'digital_clock', 0.94851214, u'digital_watch', 0.022068124, u'picket_fence', 0.0106733, u'perfume', 0.0031694307, u'whistle', 0.0031050206]
[u'bikini', 0.47261468, u'comic_book', 0.34894711, u'maillot', 0.030024761, u'brassiere', 0.029933302, u'plunger', 0.026017416]
[u'swimming_trunks', 0.35283405, u'bikini', 0.19638397, u'brassiere', 0.093275309, u'web_site', 0.055844717, u'flute', 0.033041447]
[u'comic_book', 0.48890907, u'bikini', 0.31710479, u'brassiere', 0.082790777, u'maillot', 0.037543684, u'maillot', 0.028997153]
[u'comic_book', 0.9779017, u'cowboy_boot', 0.0041064047, u'coffee_mug', 0.0039134738, u'pencil_sharpener', 0.00097348134, u'piggy_bank', 0.00089488772]
[u'brassiere', 0.30113229, u'gown', 0.19706425, u'bikini', 0.093169957, u'maillot', 0.076048322, u'hair_spray', 0.033448804]
[u'bikini', 0.48478287, u'tub', 0.16215613, u'brassiere', 0.070509098, u'miniskirt', 0.063997775, u'bathtub', 0.039367057]
[u'brassiere', 0.73458475, u'maillot', 0.13708709, u'bikini', 0.045641884, u'maillot', 0.043505464, u'swimming_trunks', 0.0054992829]
[u'comic_book', 0.68586749, u'tile_roof', 0.1263629, u'book_jacket', 0.032993458, u'coffee_mug', 0.024525344, u'balloon', 0.020182136]
[u'bikini', 0.39659178, u'maillot', 0.21470128, u'maillot', 0.098102704, u'brassiere', 0.087067157, u'swimming_trunks', 0.078796849]
[u'comic_book', 0.866494, u'brassiere', 0.024306361, u'bikini', 0.01490392, u'syringe', 0.0081975078, u'oxygen_mask', 0.0051859496]
[u'television', 0.58030778, u'bikini', 0.04524843, u'home_theater', 0.039403804, u'maillot', 0.038284574, u'bathing_cap', 0.037481263]
[u'maillot', 0.38810164, u'maillot', 0.22539537, u'bikini', 0.13095364, u'brassiere', 0.078515664, u'swimming_trunks', 0.067526646]
[u'comic_book', 0.64763474, u'bikini', 0.055880606, u'Italian_greyhound', 0.05313753, u'crossword_puzzle', 0.019479459, u'barber_chair', 0.019399982]
[u'comic_book', 0.98910719, u'book_jacket', 0.0063265557, u'bikini', 0.001608849, u'maillot', 0.00052676938, u'brassiere', 0.00050643802]
[u'comic_book', 0.96210754, u'bib', 0.0073258644, u'pajama', 0.0035178487, u'hamper', 0.0021527056, u'book_jacket', 0.0020217726]
[u'maillot', 0.32749492, u'bikini', 0.32486793, u'maillot', 0.31187409, u'brassiere', 0.011210728, u'comic_book', 0.0078814384]
[u'bikini', 0.85794276, u'maillot', 0.10453726, u'maillot', 0.015514873, u'brassiere', 0.0073769442, u'volleyball', 0.0064127953]
[u'brassiere', 0.87891519, u'bikini', 0.059827648, u'maillot', 0.015701579, u'hair_spray', 0.0095750978, u'maillot', 0.008351055]
