[u'butcher_shop', 0.50006992, u'book_jacket', 0.20760092, u'comic_book', 0.055108532, u'sarong', 0.025014706, u'Indian_elephant', 0.016814807]
[u'torch', 0.077077948, u'barber_chair', 0.071053155, u'swimming_trunks', 0.051820431, u'sunscreen', 0.042660259, u'punching_bag', 0.037940107]
[u'bikini', 0.46494895, u'bathing_cap', 0.16941056, u'swimming_trunks', 0.13153228, u'fountain', 0.070209049, u'maillot', 0.045532353]
[u'bikini', 0.18488066, u'maillot', 0.16566867, u'swimming_trunks', 0.070411392, u'paddle', 0.048438616, u'stretcher', 0.030303715]
[u'slide_rule', 0.23331167, u'park_bench', 0.1433605, u'cowboy_hat', 0.055317033, u'miniskirt', 0.038562253, u'maillot', 0.032453973]
[u'bikini', 0.34508002, u'swimming_trunks', 0.13240038, u'gyromitra', 0.098741762, u'tub', 0.085257694, u'conch', 0.061177511]
[u'maillot', 0.1226524, u'bikini', 0.12010346, u'tub', 0.085539639, u'maillot', 0.056375839, u'bathing_cap', 0.050916612]
[u'wig', 0.22730738, u'fur_coat', 0.13226102, u'tub', 0.11156725, u'bathtub', 0.047718063, u'gown', 0.040509108]
[u'studio_couch', 0.67240453, u'tub', 0.022344133, u'window_shade', 0.021170853, u'rocking_chair', 0.018872246, u'patio', 0.014633593]
[u'mousetrap', 0.15661459, u'hare', 0.099833846, u'wood_rabbit', 0.099467777, u'honeycomb', 0.084267549, u'platypus', 0.079901285]
[u'bikini', 0.28146529, u'swimming_trunks', 0.13427708, u'diaper', 0.052394945, u'maillot', 0.049943183, u'barbell', 0.043130174]
[u'brassiere', 0.3099373, u'wig', 0.060751043, u'maillot', 0.05029723, u'bikini', 0.038029071, u'maillot', 0.032091927]
[u'bikini', 0.48365194, u'brassiere', 0.4087193, u'maillot', 0.026217386, u'prison', 0.010204296, u'maillot', 0.0095894225]
[u'jackfruit', 0.17336535, u'bikini', 0.14806129, u'common_iguana', 0.1242407, u'fountain', 0.10866944, u'frilled_lizard', 0.049073357]
[u'bikini', 0.78127331, u'swimming_trunks', 0.10474596, u'maillot', 0.042001382, u'maillot', 0.038905989, u'bathing_cap', 0.01217332]
[u'web_site', 0.46012259, u'book_jacket', 0.14645952, u'comic_book', 0.13773434, u'hair_spray', 0.024340913, u'barbershop', 0.017169315]
[u'swimming_trunks', 0.51314968, u'bikini', 0.18181625, u'bathing_cap', 0.12933022, u'maillot', 0.051084671, u'volleyball', 0.044770792]
[u'swimming_trunks', 0.28964528, u'fountain', 0.089954287, u'gown', 0.079989076, u'sarong', 0.047555603, u'diaper', 0.041596763]
[u'freight_car', 0.15952811, u'jigsaw_puzzle', 0.10497068, u'cinema', 0.057030734, u'forklift', 0.053722978, u'honeycomb', 0.049324509]
[u'swimming_trunks', 0.2494536, u'bathing_cap', 0.16475789, u'bikini', 0.096217468, u'maillot', 0.039957784, u'maillot', 0.030508116]
