Term,TF,IDF,,TF-IDF
,,,,
Music,,,next,
monastery,0.0080482897,2.1205739312,,0.0170669934
clog,0.0080482897,2.1003705451,,0.0169043907
lawn_mower,0.0060362173,2.7930916002,,0.0168597078
pickelhaube,0.0060362173,2.7930916002,,0.0168597078
corkscrew,0.0080482897,2.0755469614,,0.0167046033
bassinet,0.0060362173,2.7134905431,,0.0163792186
paintbrush,0.0080482897,2.0293837777,,0.0163330686
coil,0.0080482897,2.0043213738,,0.0161313591
volcano,0.0080482897,1.9590413923,,0.0157669327
abaya,0.0080482897,1.9294189257,,0.0155285225
window_screen,0.0080482897,1.9294189257,,0.0155285225
photocopier,0.0060362173,2.5622928645,,0.0154665565
school_bus,0.0060362173,2.5622928645,,0.0154665565
sandal,0.0080482897,1.9138138524,,0.0154029284
airliner,0.0060362173,2.5378190951,,0.0153188275
thresher,0.0060362173,2.5378190951,,0.0153188275
sliding_door,0.0080482897,1.8864907252,,0.0151830239
cuirass,0.0060362173,2.5145477527,,0.0151783567
crib,0.0060362173,2.4913616938,,0.0150384006
matchstick,0.0080482897,1.8633228601,,0.0149965623
cliff,0.0080482897,1.8573324964,,0.0149483501
suit,0.0100603622,1.4771212547,,0.0148603748
ballplayer,0.0060362173,2.4502491083,,0.0147902361
loudspeaker,0.0060362173,2.4502491083,,0.0147902361
payphone,0.0060362173,2.411619706,,0.0145570606
window_shade,0.0080482897,1.806179974,,0.0145366598
doormat,0.0060362173,2.3944516808,,0.0144534307
gondola,0.0060362173,2.3944516808,,0.0144534307
brass,0.0080482897,1.785329835,,0.0143688518
racket,0.0060362173,2.361727836,,0.0142559024
snowmobile,0.0060362173,2.361727836,,0.0142559024
airship,0.0060362173,2.3443922737,,0.0141512612
hamper,0.0060362173,2.3443922737,,0.0141512612
mailbox,0.0060362173,2.3443922737,,0.0141512612
remote_control,0.0060362173,2.3443922737,,0.0141512612
unicycle,0.0060362173,2.3443922737,,0.0141512612
maypole,0.0060362173,2.3304137734,,0.0140668839
maraca,0.0060362173,2.3159703455,,0.0139797003
toilet_tissue,0.0060362173,2.3159703455,,0.0139797003
loupe,0.0060362173,2.3010299957,,0.0138895171
rifle,0.0060362173,2.3010299957,,0.0138895171
dock,0.0060362173,2.2741578493,,0.013727311
sweatshirt,0.0060362173,2.2355284469,,0.0134941355
fire_screen,0.0060362173,2.2227164712,,0.0134167996
fourposter,0.0060362173,2.2121876044,,0.0133532451
sunglasses,0.0060362173,2.2121876044,,0.0133532451
leaf_beetle,0.0040241449,3.3161800989,,0.0133447891
restaurant,0.0080482897,1.6532125138,,0.0133055333
butcher_shop,0.0080482897,1.6232492904,,0.0130643806
necklace,0.0060362173,2.1583624921,,0.013028345
poncho,0.0060362173,2.1583624921,,0.013028345
ice_lolly,0.0060362173,2.1492191127,,0.0129731536
lampshade,0.0060362173,2.1492191127,,0.0129731536
chain,0.0060362173,2.1398790864,,0.0129167752
panpipe,0.0060362173,2.1398790864,,0.0129167752
mortarboard,0.0060362173,2.1303337685,,0.0128591576
volleyball,0.0060362173,2.1205739312,,0.0128002451
hoopskirt,0.0060362173,2.1105897103,,0.0127399781
triceratops,0.0060362173,2.1105897103,,0.0127399781
flagpole,0.0060362173,2.0681858618,,0.0124840193
scorpion,0.0040241449,3.0941215958,,0.0124511935
electric_locomotive,0.0040241449,3.0149403498,,0.0121325567
spindle,0.0040241449,3.0149403498,,0.0121325567
dam,0.0060362173,2,,0.0120724346
ant,0.0040241449,2.9479236198,,0.0118628717
sea_slug,0.0040241449,2.9479236198,,0.0118628717
crate,0.0060362173,1.9542425094,,0.0117962325
hair_spray,0.0060362173,1.8976270913,,0.0114544895
gokart,0.0040241449,2.8388490907,,0.01142394
manhole_cover,0.0040241449,2.8388490907,,0.01142394
steam_locomotive,0.0040241449,2.751279104,,0.0110715457
minivan,0.0040241449,2.7134905431,,0.010919479
motor_scooter,0.0040241449,2.6794278966,,0.010782406
washbasin,0.0040241449,2.6464037262,,0.010649512
daisy,0.0040241449,2.5888317256,,0.0104178339
bikini,0.0080482897,1.278753601,,0.0102917795
apron,0.0040241449,2.5378190951,,0.0102125517
freight_car,0.0040241449,2.5378190951,,0.0102125517
mountain_tent,0.0040241449,2.5378190951,,0.0102125517
planetarium,0.0040241449,2.5378190951,,0.0102125517
slide_rule,0.0040241449,2.5378190951,,0.0102125517
cassette_player,0.0040241449,2.5145477527,,0.0101189044
china_cabinet,0.0040241449,2.5145477527,,0.0101189044
mailbag,0.0040241449,2.5145477527,,0.0101189044
paddlewheel,0.0040241449,2.4913616938,,0.0100256004
umbrella,0.0040241449,2.4913616938,,0.0100256004
desktop_computer,0.0040241449,2.469822016,,0.0099389216
bucket,0.0040241449,2.4313637642,,0.00978416
cardigan,0.0040241449,2.4313637642,,0.00978416
radio,0.0040241449,2.411619706,,0.0097047071
wallet,0.0040241449,2.3944516808,,0.0096356204
microwave,0.0040241449,2.378397901,,0.0095710177
modem,0.0040241449,2.378397901,,0.0095710177
parallel_bars,0.0040241449,2.361727836,,0.009503935
grocery_store,0.0040241449,2.3443922737,,0.0094341741
greenhouse,0.0040241449,2.3304137734,,0.0093779226
plate,0.0040241449,2.3010299957,,0.0092596781
