[u'pole', 0.41484478, u'horizontal_bar', 0.21662961, u'brassiere', 0.053232614, u'parallel_bars', 0.046234436, u'balance_beam', 0.037779488]
[u'tricycle', 0.16229847, u'horizontal_bar', 0.11933347, u'balance_beam', 0.085192986, u'unicycle', 0.075803876, u'hook', 0.043554105]
[u'maillot', 0.16629656, u'pole', 0.098167427, u'comic_book', 0.080759145, u'basketball', 0.041722909, u'maillot', 0.040571727]
[u'miniskirt', 0.15163593, u'oboe', 0.10065387, u'maillot', 0.080831088, u'flute', 0.079201929, u'maillot', 0.041953716]
[u'bikini', 0.27420434, u'pole', 0.065844573, u'volleyball', 0.063671082, u'sunscreen', 0.060394667, u'sunglass', 0.059471831]
[u'pole', 0.2740747, u'miniskirt', 0.25399914, u'bikini', 0.11583094, u'maillot', 0.10857634, u'crutch', 0.058257841]
[u'bikini', 0.21051157, u'swimming_trunks', 0.12064568, u'boa_constrictor', 0.078021653, u'banded_gecko', 0.055776075, u'Italian_greyhound', 0.04445786]
[u'revolver', 0.15413085, u'book_jacket', 0.14359616, u'comic_book', 0.12100476, u'rifle', 0.096527524, u'unicycle', 0.069804743]
[u'bikini', 0.64746159, u'maillot', 0.16091438, u'maillot', 0.075474881, u'brassiere', 0.071678571, u'sandal', 0.0060160938]
[u'bikini', 0.45549327, u'maillot', 0.12930627, u'miniskirt', 0.084299378, u'maillot', 0.080878519, u'swimming_trunks', 0.019826779]
[u'bikini', 0.26798627, u'maillot', 0.07573501, u'swimming_trunks', 0.074291587, u'bathing_cap', 0.064736448, u'maillot', 0.051799037]
[u'harp', 0.78121507, u'pole', 0.048158854, u'punching_bag', 0.038293086, u'stage', 0.024097197, u'electric_guitar', 0.022435538]
[u'guillotine', 0.24479373, u'assault_rifle', 0.16660051, u'rifle', 0.14370658, u'military_uniform', 0.12525563, u'pole', 0.040022176]
[u'bikini', 0.21903875, u'pole', 0.17927907, u'fountain', 0.12741156, u'butcher_shop', 0.074149862, u'chain', 0.061063569]
[u'unicycle', 0.29664731, u'balance_beam', 0.12947579, u'African_grey', 0.11667649, u'hook', 0.04289747, u'tricycle', 0.042264361]
[u'balance_beam', 0.13878156, u'jean', 0.073352665, u'miniskirt', 0.069409706, u'swimming_trunks', 0.057844047, u'bathtub', 0.041948449]
