[u'planetarium', 0.062128127, u'monitor', 0.03164681, u'solar_dish', 0.025329111, u'Angora', 0.023387829, u'library', 0.02273244]
[u'library', 0.19638586, u'bookshop', 0.086626656, u'dining_table', 0.017953414, u'bookcase', 0.015784081, u'tobacco_shop', 0.0157269]
[u'window_screen', 0.0888393, u'window_shade', 0.028178357, u'tobacco_shop', 0.026933903, u'German_shepherd', 0.022158954, u'screen', 0.015803205]
[u'stupa', 0.056376364, u'planetarium', 0.033589479, u'vault', 0.030348867, u'toilet_tissue', 0.028240167, u'space_shuttle', 0.027521631]
[u'jigsaw_puzzle', 0.12035727, u'container_ship', 0.098081842, u'solar_dish', 0.090553775, u'quilt', 0.046120279, u'crossword_puzzle', 0.03978312]
[u'library', 0.10167108, u'bookcase', 0.083889969, u'prison', 0.083386384, u'dining_table', 0.080419354, u'shoji', 0.074006662]
[u'container_ship', 0.48149955, u'Windsor_tie', 0.03389173, u'envelope', 0.027042318, u'pill_bottle', 0.025771106, u'Band_Aid', 0.014808679]
[u'library', 0.30178854, u'planetarium', 0.11022549, u'vault', 0.082657896, u'dome', 0.065708771, u'maze', 0.047582142]
[u'geyser', 0.22921132, u'window_screen', 0.036623653, u'fountain', 0.031642821, u'solar_dish', 0.019331684, u'German_shepherd', 0.013358109]
[u'library', 0.1612922, u'bookshop', 0.135598, u'container_ship', 0.1346461, u'crossword_puzzle', 0.049872492, u'bookcase', 0.021030949]
[u'crossword_puzzle', 0.055411272, u'Egyptian_cat', 0.034355834, u'bookshop', 0.026448829, u'window_screen', 0.022686347, u'book_jacket', 0.019524142]
[u'carton', 0.14039972, u'container_ship', 0.12701906, u'crate', 0.049399473, u'honeycomb', 0.023266295, u'tray', 0.021608144]
[u'geyser', 0.09972401, u'window_screen', 0.072667271, u'window_shade', 0.032205828, u'shower_curtain', 0.026991736, u'Windsor_tie', 0.02115554]
[u'window_screen', 0.13506894, u'geyser', 0.118784, u'window_shade', 0.051792845, u'projectile', 0.024492171, u'prison', 0.018483551]
[u'velvet', 0.13119173, u'Windsor_tie', 0.055044029, u'Egyptian_cat', 0.053202931, u'balance_beam', 0.040086154, u'bathing_cap', 0.017286032]
[u'shower_curtain', 0.23579259, u'dumbbell', 0.079483718, u'hand_blower', 0.078672566, u'balance_beam', 0.042130549, u'handkerchief', 0.04148693]
