[u'diaper', 0.41350123, u'bathtub', 0.10476706, u'tub', 0.10023712, u'swimming_trunks', 0.096403532, u'bikini', 0.086524583]
[u'balance_beam', 0.44401073, u'parallel_bars', 0.33883673, u'horizontal_bar', 0.15986916, u'volleyball', 0.010816644, u'pole', 0.0070148422]
[u'dumbbell', 0.44016486, u'swimming_trunks', 0.17642824, u'barbell', 0.098664202, u'brassiere', 0.05167754, u'bathing_cap', 0.028830497]
[u'basenji', 0.092666388, u'Italian_greyhound', 0.066243336, u'stethoscope', 0.053195029, u'sunscreen', 0.039244696, u'diaper', 0.039070044]
[u'horizontal_bar', 0.27044135, u'pole', 0.13481231, u'basketball', 0.13461447, u'balance_beam', 0.091223352, u'swimming_trunks', 0.071082912]
[u'swimming_trunks', 0.58094287, u'bikini', 0.083791144, u'maillot', 0.066384397, u'maillot', 0.03701387, u'bathing_cap', 0.034739655]
[u'barbell', 0.23052943, u'diaper', 0.15671463, u'horizontal_bar', 0.11659355, u'brassiere', 0.077622741, u'tub', 0.0759985]
[u'maillot', 0.37911692, u'maillot', 0.26138207, u'bikini', 0.19715801, u'swimming_trunks', 0.040299036, u'brassiere', 0.028669434]
[u'bikini', 0.3198072, u'maillot', 0.13704796, u'bathtub', 0.13446863, u'tub', 0.086166516, u'rhinoceros_beetle', 0.083961062]
[u'diaper', 0.17601316, u'swimming_trunks', 0.10966962, u'Weimaraner', 0.10150204, u'bikini', 0.083148278, u'Mexican_hairless', 0.080019139]
[u'sleeping_bag', 0.17781138, u'stretcher', 0.1063044, u'pool_table', 0.083145298, u'studio_couch', 0.059223533, u'oxygen_mask', 0.034013446]
[u'swimming_trunks', 0.89358246, u'bathing_cap', 0.062646843, u'bikini', 0.0060164686, u'maillot', 0.0038727652, u'balance_beam', 0.0026688448]
[u'racket', 0.274856, u'balance_beam', 0.17385861, u'dumbbell', 0.062999733, u'horizontal_bar', 0.023825217, u'mortarboard', 0.022869341]
[u'hand_blower', 0.17679253, u'plunger', 0.10150356, u'sunscreen', 0.10059577, u'wig', 0.083212756, u'cowboy_hat', 0.071856849]
