[u'brassiere', 0.37384993, u'maillot', 0.046336167, u'dishwasher', 0.04476741, u'oxygen_mask', 0.039519649, u'bikini', 0.035542201]
[u'tub', 0.30005798, u'brassiere', 0.20109659, u'bathtub', 0.1381525, u'bikini', 0.1127784, u'maillot', 0.071147509]
[u'bikini', 0.41020212, u'swimming_trunks', 0.18721142, u'bathing_cap', 0.08255969, u'maillot', 0.079718955, u'maillot', 0.076013893]
[u'harp', 0.75965744, u'pole', 0.067372203, u'carousel', 0.047374334, u'bikini', 0.03269523, u'maillot', 0.024092758]
[u'maillot', 0.49754548, u'bikini', 0.23815668, u'maillot', 0.13583663, u'brassiere', 0.094030201, u'comic_book', 0.0084896283]
[u'bathing_cap', 0.16802564, u'sunscreen', 0.11280268, u'bikini', 0.077436619, u'maillot', 0.073387571, u'maillot', 0.06834618]
[u'bikini', 0.28903687, u'maillot', 0.24858908, u'maillot', 0.20001687, u'brassiere', 0.046814773, u'bathing_cap', 0.032792374]
[u'comic_book', 0.13916516, u'swimming_trunks', 0.11373039, u'bathing_cap', 0.05314444, u'maillot', 0.03672713, u'book_jacket', 0.019761125]
[u'bikini', 0.20248151, u'bathing_cap', 0.18894206, u'swimming_trunks', 0.061927374, u'carton', 0.053564172, u'maillot', 0.050609056]
[u'bikini', 0.72705448, u'maillot', 0.10906904, u'maillot', 0.07718613, u'swimming_trunks', 0.024317617, u'miniskirt', 0.0096479943]
[u'four-poster', 0.10555132, u'miniskirt', 0.10380535, u'home_theater', 0.07912039, u'maillot', 0.048408058, u'gown', 0.043975521]
[u'pole', 0.47629195, u'bikini', 0.091368809, u'carousel', 0.068958536, u'brassiere', 0.058468506, u'maillot', 0.0344189]
[u'maillot', 0.30582887, u'bikini', 0.22811937, u'maillot', 0.18952058, u'brassiere', 0.047350425, u'pole', 0.038699381]
[u'bikini', 0.23422402, u'maillot', 0.069247283, u'maillot', 0.06078206, u'brassiere', 0.053890403, u'comic_book', 0.045141101]
[u'swimming_trunks', 0.11995354, u'bikini', 0.094817512, u'horizontal_bar', 0.076617144, u'balance_beam', 0.043119077, u'maillot', 0.031970821]
[u'butcher_shop', 0.19588296, u'Chesapeake_Bay_retriever', 0.050692156, u'vizsla', 0.049046479, u'toilet_seat', 0.04767843, u'Weimaraner', 0.038510978]
[u'bikini', 0.26444587, u'tub', 0.14404394, u'miniskirt', 0.082767032, u'Weimaraner', 0.074419141, u'maillot', 0.053113848]
[u'bikini', 0.11960496, u'balance_beam', 0.10704176, u'dumbbell', 0.094150051, u'pole', 0.082365565, u'maillot', 0.072007619]
[u'bikini', 0.62169963, u'maillot', 0.18008004, u'sandal', 0.044185806, u'brassiere', 0.037597802, u'miniskirt', 0.032619461]
[u'bikini', 0.55876309, u'brassiere', 0.078220919, u'tub', 0.064584255, u'maillot', 0.049598437, u'miniskirt', 0.046242114]
[u'swimming_trunks', 0.52773851, u'bathing_cap', 0.25724435, u'maillot', 0.12119178, u'bikini', 0.066166006, u'maillot', 0.021798495]
[u'bikini', 0.35846758, u'maillot', 0.23108016, u'maillot', 0.19819298, u'swimming_trunks', 0.062024739, u'bathing_cap', 0.050475601]
[u'maillot', 0.23774283, u'pole', 0.22635247, u'maillot', 0.1098258, u'plunger', 0.069803938, u'spatula', 0.052485351]
[u'comic_book', 0.44566265, u'maillot', 0.11921848, u'bikini', 0.089035846, u'mask', 0.079386801, u'brassiere', 0.060558144]
[u'comic_book', 0.41818437, u'jigsaw_puzzle', 0.39662856, u'wall_clock', 0.017164469, u'shower_curtain', 0.016294189, u'laptop', 0.015249123]
[u'bikini', 0.24963158, u'swimming_trunks', 0.23454362, u'brassiere', 0.051924016, u'maillot', 0.048115954, u'maillot', 0.044016622]
