[u'miniskirt', 0.22525243, u'jean', 0.13117963, u'sarong', 0.057560366, u'maillot', 0.045610487, u'pajama', 0.042190205]
[u'miniskirt', 0.17669146, u'pajama', 0.13391322, u'jean', 0.066473097, u'washer', 0.063653953, u'gown', 0.036731467]
[u'brassiere', 0.61422271, u'bikini', 0.16430438, u'maillot', 0.051004812, u'diaper', 0.042338785, u'gown', 0.012612962]
[u'miniskirt', 0.24261315, u'washer', 0.17360605, u'toilet_seat', 0.080025472, u'iron', 0.06713777, u'bathtub', 0.043218575]
[u'maillot', 0.2998082, u'brassiere', 0.23548718, u'miniskirt', 0.1797197, u'bikini', 0.10373305, u'maillot', 0.053373419]
[u'bikini', 0.3793374, u'tub', 0.10174357, u'maillot', 0.098576292, u'maillot', 0.068941392, u'bathtub', 0.061474081]
[u'brassiere', 0.26329342, u'maillot', 0.21217948, u'miniskirt', 0.18875989, u'bikini', 0.058904998, u'maillot', 0.041452948]
[u'photocopier', 0.53252798, u'balance_beam', 0.10341796, u'printer', 0.04436307, u'projector', 0.016399637, u'carton', 0.016212665]
[u'groom', 0.13138163, u'miniskirt', 0.085730061, u'ice_lolly', 0.043451037, u'bow_tie', 0.042074427, u'brassiere', 0.031726811]
[u'bath_towel', 0.074356072, u'crutch', 0.064107925, u'maillot', 0.058931105, u'studio_couch', 0.057085585, u'maillot', 0.055322625]
[u'maillot', 0.38486311, u'brassiere', 0.37559801, u'miniskirt', 0.11379527, u'maillot', 0.077781677, u'bikini', 0.023388619]
[u'miniskirt', 0.43162403, u'maillot', 0.28396577, u'maillot', 0.15921761, u'brassiere', 0.05568517, u'bikini', 0.025772378]
[u'diaper', 0.29627714, u'sunscreen', 0.049278446, u'brassiere', 0.0410376, u'ice_lolly', 0.038870886, u'bath_towel', 0.035364781]
[u'miniskirt', 0.39016637, u'overskirt', 0.14524566, u'jersey', 0.10319555, u'hoopskirt', 0.083653159, u'gown', 0.036890972]
[u'groom', 0.11572023, u'lab_coat', 0.11024088, u'gown', 0.07152693, u'bow_tie', 0.060030259, u'neck_brace', 0.050053373]
[u'diaper', 0.12242437, u'pajama', 0.076028943, u'sleeping_bag', 0.063142233, u'hoopskirt', 0.062153995, u'sarong', 0.042041965]
[u'trench_coat', 0.37209988, u'suit', 0.071247451, u'fur_coat', 0.052506227, u'jean', 0.034567531, u'stole', 0.029761856]
[u'Model_T', 0.09857627, u'limousine', 0.064862467, u'groom', 0.051864292, u'minivan', 0.051326193, u'plastic_bag', 0.05048161]
[u'carousel', 0.47631952, u'swing', 0.04191744, u'torch', 0.033700515, u'bow_tie', 0.027335465, u'vestment', 0.021695966]
[u'maillot', 0.18094523, u'tub', 0.16059934, u'miniskirt', 0.12043049, u'bathtub', 0.087932967, u'gown', 0.085676827]
[u'diaper', 0.17295854, u'bathtub', 0.1402, u'Band_Aid', 0.10923599, u'tub', 0.078939252, u'bath_towel', 0.07277751]
[u'stole', 0.60215992, u'brassiere', 0.088413872, u'gown', 0.034706611, u'pajama', 0.033831835, u'wool', 0.025587829]
[u'groom', 0.052334785, u'four-poster', 0.040786251, u'gown', 0.040725522, u'fur_coat', 0.039609998, u'vacuum', 0.03532128]
[u'diaper', 0.13104631, u'rocking_chair', 0.071234033, u'miniskirt', 0.069858976, u'cradle', 0.022569353, u'maillot', 0.022407517]
[u'hand_blower', 0.31684327, u'corkscrew', 0.080361202, u'can_opener', 0.047161497, u'barber_chair', 0.038835332, u'hair_spray', 0.027358672]
[u'groom', 0.46121952, u'hair_spray', 0.14976519, u'limousine', 0.074440889, u'gown', 0.074065223, u'sunglass', 0.03800017]
[u'miniskirt', 0.69859844, u'jean', 0.080977067, u'maillot', 0.067072451, u'maillot', 0.037436541, u'jersey', 0.0097132958]
[u'miniskirt', 0.19790797, u'pajama', 0.097376972, u'maillot', 0.097138517, u'quilt', 0.09260425, u'studio_couch', 0.071523674]
[u'apron', 0.25875515, u'maillot', 0.15125431, u'maillot', 0.10187472, u'gown', 0.07323429, u'miniskirt', 0.05542494]
[u'golfcart', 0.37615761, u'lawn_mower', 0.11738369, u'barrow', 0.074513838, u'motor_scooter', 0.018653508, u'miniskirt', 0.013103023]
[u'toy_poodle', 0.066100828, u'miniature_poodle', 0.035781033, u'skunk', 0.033032797, u'Shetland_sheepdog', 0.030595494, u'Pomeranian', 0.026744515]
[u'bathtub', 0.26064932, u'tub', 0.13111871, u'washer', 0.088781573, u'iron', 0.072422102, u'toilet_seat', 0.05071364]
[u'lab_coat', 0.39077598, u'toilet_tissue', 0.068161279, u'paper_towel', 0.057418521, u'quill', 0.05613669, u'stethoscope', 0.036537535]
[u'maillot', 0.39938152, u'brassiere', 0.23677289, u'bikini', 0.13992749, u'miniskirt', 0.081139512, u'maillot', 0.062790588]
[u'bathtub', 0.090338454, u'maillot', 0.0865997, u'miniskirt', 0.079381548, u'tub', 0.061036348, u'diaper', 0.035856158]
[u'miniskirt', 0.17010152, u'pajama', 0.12629388, u'hair_spray', 0.062913507, u'hoopskirt', 0.06123947, u'brassiere', 0.051224761]
[u'overskirt', 0.28160441, u'gown', 0.18496306, u'hoopskirt', 0.1691625, u'miniskirt', 0.037024971, u'sarong', 0.026447285]
[u'folding_chair', 0.16122121, u'horizontal_bar', 0.087175183, u'rocking_chair', 0.057121754, u'maillot', 0.046923414, u'parallel_bars', 0.046328913]
[u'jean', 0.20405139, u'miniskirt', 0.081681907, u'cellular_telephone', 0.038100339, u'harmonica', 0.034834549, u'toilet_tissue', 0.034404375]
[u'lab_coat', 0.29219508, u'stole', 0.13334213, u'cardigan', 0.084301665, u'fur_coat', 0.036129359, u'wig', 0.031418242]
[u'miniskirt', 0.96443975, u'grand_piano', 0.019291837, u'maillot', 0.0077145905, u'maillot', 0.0010443371, u'cowboy_boot', 0.00095754093]
[u'bathtub', 0.51931983, u'tub', 0.2608591, u'bath_towel', 0.034439228, u'diaper', 0.026320394, u'nipple', 0.018316442]
[u'diaper', 0.19331865, u'miniskirt', 0.043387841, u'toilet_tissue', 0.040592454, u'brassiere', 0.038182922, u'pajama', 0.029272355]
[u'diaper', 0.084555559, u'kimono', 0.081717037, u'stole', 0.062849417, u'sarong', 0.059523594, u'swimming_trunks', 0.048508361]
[u'miniskirt', 0.21742773, u'diaper', 0.098054662, u'balance_beam', 0.061887141, u'swimming_trunks', 0.03887463, u'horizontal_bar', 0.028327107]
[u'hoopskirt', 0.40757218, u'gown', 0.19791439, u'pajama', 0.1376444, u'overskirt', 0.085422158, u'miniskirt', 0.076251507]
[u'tub', 0.39237687, u'bathtub', 0.29169154, u'diaper', 0.057347536, u'bikini', 0.038993813, u'bath_towel', 0.030048175]
