[u'maillot', 0.28979936, u'gown', 0.14651875, u'maillot', 0.14067732, u'bikini', 0.061808977, u'miniskirt', 0.05894519]
[u'bath_towel', 0.74769121, u'fur_coat', 0.13106199, u'tub', 0.041901875, u'bathtub', 0.027852278, u'bikini', 0.020925388]
[u'sunscreen', 0.18430363, u'swimming_trunks', 0.16446625, u'bikini', 0.15428661, u'diaper', 0.11724149, u'brassiere', 0.082533762]
[u'bikini', 0.34267741, u'maillot', 0.11254872, u'maillot', 0.084148437, u'tub', 0.063922249, u'gown', 0.049681608]
[u'tub', 0.33683947, u'bathtub', 0.29726121, u'brassiere', 0.082652405, u'bath_towel', 0.075973086, u'bikini', 0.061293144]
[u'bikini', 0.3342858, u'brassiere', 0.1052758, u'maillot', 0.089337379, u'sunglasses', 0.043008458, u'maillot', 0.041647535]
[u'bikini', 0.31181145, u'tub', 0.14620763, u'bathtub', 0.090737633, u'maillot', 0.05506739, u'brassiere', 0.045209892]
[u'tub', 0.38456801, u'bikini', 0.32860702, u'bathtub', 0.12156502, u'swimming_trunks', 0.045279294, u'maillot', 0.043783903]
[u'wig', 0.19218846, u'carousel', 0.079631455, u'shower_cap', 0.052891433, u'sarong', 0.04720699, u'hair_spray', 0.031497806]
[u'window_shade', 0.12265636, u'gown', 0.089147173, u'bikini', 0.085618265, u'miniskirt', 0.072339304, u'groom', 0.044299614]
[u'axolotl', 0.22544703, u'sea_slug', 0.10994801, u'conch', 0.092354544, u'hermit_crab', 0.063179508, u'starfish', 0.055928372]
[u'bath_towel', 0.71249843, u'fur_coat', 0.080126189, u'diaper', 0.036586124, u'tub', 0.022979865, u'shower_cap', 0.021953572]
[u'ice_lolly', 0.81484789, u'lipstick', 0.16489941, u'whistle', 0.011837438, u'hotdog', 0.0052624382, u'bathtub', 0.00064548745]
[u'bikini', 0.19127308, u'lipstick', 0.13804068, u'sunscreen', 0.12387795, u'ice_lolly', 0.085008308, u'bathtub', 0.075638101]
[u'bikini', 0.47484457, u'swimming_trunks', 0.13467421, u'maillot', 0.11119267, u'sunscreen', 0.073186673, u'maillot', 0.0332468]
[u'sunscreen', 0.31367913, u'bath_towel', 0.093294956, u'conch', 0.071886785, u'hog', 0.061721627, u'Band_Aid', 0.035092775]
[u'fur_coat', 0.41145447, u'bikini', 0.13858654, u'maillot', 0.083258443, u'tub', 0.08136002, u'bathtub', 0.043345276]
[u'hair_spray', 0.15474594, u'miniskirt', 0.095596589, u'sarong', 0.084365785, u'wig', 0.078018673, u'maillot', 0.061865944]
[u'bikini', 0.29025438, u'sunscreen', 0.20660073, u'brassiere', 0.13493964, u'swimming_trunks', 0.094012514, u'maillot', 0.026843052]
[u'bathtub', 0.35256681, u'tub', 0.26897871, u'bikini', 0.12538458, u'ice_lolly', 0.070863374, u'maillot', 0.046805054]
[u'tub', 0.363994, u'bathtub', 0.15705836, u'bikini', 0.11971022, u'brassiere', 0.11684617, u'swimming_trunks', 0.097723365]
[u'hair_spray', 0.67843461, u'wig', 0.1794254, u'lipstick', 0.013589599, u'hand_blower', 0.013196335, u'cleaver', 0.012865]
[u'bath_towel', 0.69665629, u'bikini', 0.037893616, u'sunscreen', 0.032814369, u'bathtub', 0.024511123, u'dough', 0.021674292]
