[u'bearskin', 0.15031061, u'ski', 0.14609285, u'picket_fence', 0.14586495, u'military_uniform', 0.062904082, u'flagpole', 0.060454842]
[u'military_uniform', 0.38255292, u'cloak', 0.24836758, u'bearskin', 0.067562602, u'academic_gown', 0.042692676, u'shield', 0.032259792]
[u'vestment', 0.2082479, u'abaya', 0.19691673, u'suit', 0.14042075, u'groom', 0.051341273, u'altar', 0.034659162]
[u'poncho', 0.16881771, u'academic_gown', 0.12757462, u'mortarboard', 0.1209383, u'abaya', 0.10980497, u'military_uniform', 0.092717767]
[u'candle', 0.11236706, u'picket_fence', 0.10595454, u'shower_curtain', 0.088921204, u'butcher_shop', 0.070340775, u'kimono', 0.050021324]
[u'stupa', 0.2983892, u'suspension_bridge', 0.16311817, u'bannister', 0.05969765, u'theater_curtain', 0.058522508, u'picket_fence', 0.040826704]
[u'wardrobe', 0.29851082, u'throne', 0.23715076, u'vestment', 0.15798067, u'altar', 0.058737114, u'guillotine', 0.050438501]
[u'abaya', 0.78458589, u'vestment', 0.047729731, u'gown', 0.042757161, u'groom', 0.039846759, u'cloak', 0.016056567]
[u'Band_Aid', 0.64495355, u'ice_lolly', 0.076112941, u'packet', 0.028507559, u'lipstick', 0.014977917, u'corn', 0.01467123]
[u'lab_coat', 0.99553275, u'vestment', 0.0015330806, u'handkerchief', 0.00042484424, u'cleaver', 0.00034595668, u'suit', 0.00023231926]
[u'entertainment_center', 0.63658828, u'bookcase', 0.10373472, u'home_theater', 0.051502831, u'sliding_door', 0.023289416, u'china_cabinet', 0.022135718]
[u'altar', 0.3235437, u'church', 0.28454012, u'mosque', 0.054627791, u'palace', 0.05014931, u'bannister', 0.049179338]
[u'throne', 0.23478831, u'vestment', 0.19346157, u'altar', 0.092982911, u'palace', 0.078419328, u'theater_curtain', 0.048372332]
[u'altar', 0.65906996, u'throne', 0.059339829, u'chime', 0.051684067, u'prayer_rug', 0.049937706, u'vestment', 0.020902235]
[u'academic_gown', 0.61363822, u'mortarboard', 0.10714412, u'cloak', 0.10316093, u'abaya', 0.089448951, u'vestment', 0.02429999]
[u'throne', 0.68917817, u'harp', 0.054413684, u'altar', 0.050461832, u'guillotine', 0.025595551, u'gondola', 0.017388573]
[u'altar', 0.23809336, u'restaurant', 0.22749816, u'barber_chair', 0.078176543, u'fire_engine', 0.06210503, u'barbershop', 0.058264494]
[u'academic_gown', 0.47252181, u'mortarboard', 0.0933972, u'military_uniform', 0.069576301, u'bow', 0.049114417, u'vestment', 0.042889554]
[u'ski', 0.61158532, u'flagpole', 0.12578781, u'pole', 0.090033844, u'totem_pole', 0.075563386, u'stupa', 0.034651011]
[u'suit', 0.8203249, u'abaya', 0.067123696, u'academic_gown', 0.026325503, u'Windsor_tie', 0.011157705, u'wardrobe', 0.010181164]
[u'restaurant', 0.29510254, u'vestment', 0.19921511, u'altar', 0.17357765, u'throne', 0.04763113, u'palace', 0.023816429]
[u'vestment', 0.30045748, u'throne', 0.15902045, u'altar', 0.093332224, u'crutch', 0.070979245, u'swab', 0.05724911]
[u'vestment', 0.86371106, u'abaya', 0.09674973, u'altar', 0.024026982, u'harp', 0.0053434474, u'kimono', 0.0033429929]
[u'throne', 0.36953524, u'vestment', 0.22992498, u'four-poster', 0.11719152, u'altar', 0.086607553, u'wardrobe', 0.078452393]
[u'four-poster', 0.40293652, u'cello', 0.12317275, u'dining_table', 0.072636172, u'wardrobe', 0.053226057, u'violin', 0.050303098]
[u'wardrobe', 0.25396046, u'vestment', 0.19417343, u'abaya', 0.16598573, u'throne', 0.1024553, u'suit', 0.092322171]
[u'kimono', 0.14734226, u'suit', 0.11965757, u'abaya', 0.098696932, u'swab', 0.092040062, u'military_uniform', 0.088861085]
[u'altar', 0.22893873, u'groom', 0.16328311, u'gown', 0.076310396, u'vestment', 0.036504824, u'grand_piano', 0.032842908]
[u'abaya', 0.22741623, u'butcher_shop', 0.12434445, u'shoe_shop', 0.096238092, u'vestment', 0.046348508, u'grocery_store', 0.02847952]
[u'screwdriver', 0.092229925, u'candle', 0.080250204, u'chime', 0.049846094, u'ski', 0.048110481, u"carpenter's_kit", 0.039634492]
[u'vestment', 0.37441012, u'wardrobe', 0.35408941, u'abaya', 0.041454747, u'academic_gown', 0.040467851, u'cloak', 0.025188144]
[u'altar', 0.42712319, u'palace', 0.16472296, u'dome', 0.10204002, u'vault', 0.058254875, u'organ', 0.038501438]
[u'groom', 0.24265184, u'gown', 0.19409239, u'vestment', 0.1291225, u'altar', 0.1129212, u'candle', 0.064413004]
[u'abaya', 0.25235477, u'wardrobe', 0.22123468, u'vestment', 0.1581265, u'suit', 0.067098089, u'altar', 0.047003739]
[u'harvester', 0.94605058, u'thresher', 0.046338312, u'plow', 0.0062189768, u'tractor', 0.00060007762, u'steam_locomotive', 0.00057649607]
[u'restaurant', 0.12766166, u'altar', 0.12083444, u'theater_curtain', 0.10354963, u'barrel', 0.063721262, u'palace', 0.054355327]
[u'tractor', 0.24459435, u'barbell', 0.13031366, u'thresher', 0.11123499, u'plow', 0.089430466, u'tow_truck', 0.042058524]
[u'fountain', 0.39202473, u'pinwheel', 0.17261305, u'bubble', 0.079680435, u'balloon', 0.078846142, u'stage', 0.058753066]
[u'altar', 0.35511994, u'organ', 0.15649325, u'vestment', 0.091407843, u'restaurant', 0.076527514, u'church', 0.065695718]
[u'fountain', 0.72002375, u'theater_curtain', 0.065148585, u'altar', 0.05656106, u'organ', 0.016534593, u'swab', 0.01336302]
[u'vestment', 0.86532515, u'wardrobe', 0.093028463, u'abaya', 0.014359127, u'altar', 0.0099180024, u'theater_curtain', 0.0029750515]
[u'academic_gown', 0.62790769, u'mortarboard', 0.1518905, u'suit', 0.046913728, u'abaya', 0.029540919, u'vestment', 0.024376478]
[u'wardrobe', 0.56245786, u'ski', 0.28641939, u'military_uniform', 0.025769167, u'bearskin', 0.021841535, u'stole', 0.01688361]
[u'envelope', 0.1908222, u'digital_clock', 0.12167398, u'web_site', 0.11473187, u'screen', 0.050223269, u'monitor', 0.042179409]
[u'military_uniform', 0.11051308, u'crutch', 0.054382388, u'suit', 0.038348086, u'rifle', 0.037421532, u'bow', 0.036862768]
[u'bow', 0.38195243, u'swab', 0.31949773, u'ski', 0.16431674, u'wardrobe', 0.050496329, u'rifle', 0.011303145]
[u'altar', 0.21682297, u'vestment', 0.16776828, u'organ', 0.098348439, u'vault', 0.061484985, u'church', 0.059828069]
[u'altar', 0.20116268, u'grand_piano', 0.12601893, u'organ', 0.11445072, u'restaurant', 0.056479782, u'drum', 0.054209575]
[u'suit', 0.44148371, u'abaya', 0.080421709, u'mortarboard', 0.062510036, u'vestment', 0.038404241, u'Windsor_tie', 0.034479275]
[u'vestment', 0.63478374, u'altar', 0.0899617, u'abaya', 0.072968774, u'throne', 0.07240817, u'wardrobe', 0.04578352]
[u'vestment', 0.51102853, u'wardrobe', 0.20883814, u'abaya', 0.12804389, u'suit', 0.021383738, u'altar', 0.016029019]
[u'restaurant', 0.087866187, u'groom', 0.085663944, u'library', 0.074880421, u'bookshop', 0.072368555, u'vestment', 0.066962026]
[u'vestment', 0.75697339, u'cloak', 0.050793827, u'wardrobe', 0.046746362, u'abaya', 0.020366756, u'academic_gown', 0.016116885]
[u'lab_coat', 0.11371581, u'suit', 0.093924716, u'stage', 0.093501456, u'space_shuttle', 0.062414218, u'Windsor_tie', 0.044903476]
[u'poncho', 0.53488642, u'sarong', 0.086176008, u'stole', 0.072181575, u'wool', 0.032741323, u'wig', 0.028561899]
[u'throne', 0.62630153, u'wardrobe', 0.11687654, u'guillotine', 0.11169925, u'gong', 0.038131185, u'altar', 0.026234737]
[u'altar', 0.48970881, u'vestment', 0.12163282, u'throne', 0.080557168, u'theater_curtain', 0.042062644, u'groom', 0.024626862]
[u'worm_fence', 0.1116225, u'cannon', 0.073030442, u'military_uniform', 0.037561495, u'pole', 0.032254871, u'picket_fence', 0.027494363]
[u'poncho', 0.17353152, u'flagpole', 0.15952343, u'bearskin', 0.10263132, u'academic_gown', 0.073556818, u'ski', 0.047910366]
[u'planetarium', 0.26578188, u'dome', 0.091460861, u'greenhouse', 0.080708697, u'streetcar', 0.07116922, u'trolleybus', 0.06172619]
[u'vestment', 0.084318191, u'sarong', 0.06754142, u'bow', 0.066268757, u'kimono', 0.059238926, u'shower_curtain', 0.046080709]
[u'wardrobe', 0.28107092, u'vestment', 0.095958628, u'altar', 0.087755956, u'bow', 0.079039097, u'abaya', 0.03863522]
[u'stage', 0.93788254, u'basketball', 0.012263995, u'planetarium', 0.0076394225, u'scoreboard', 0.0047948142, u'cinema', 0.0041446188]
[u'throne', 0.49544764, u'wardrobe', 0.12455059, u'vestment', 0.047958121, u'guillotine', 0.040275633, u'four-poster', 0.033374771]
[u'throne', 0.38692254, u'vestment', 0.23784697, u'wardrobe', 0.15572047, u'altar', 0.054158967, u'abaya', 0.012694138]
[u'schooner', 0.37325987, u'yawl', 0.3348392, u'fireboat', 0.063676864, u'ski', 0.045448169, u'suspension_bridge', 0.020975525]
[u'ski', 0.206672, u'wardrobe', 0.19443721, u'picket_fence', 0.11039875, u'fountain', 0.078503259, u'swab', 0.072880238]
[u'ski', 0.17577082, u'bow', 0.10542332, u'wardrobe', 0.098936543, u'picket_fence', 0.050844457, u'rifle', 0.043270905]
[u'space_shuttle', 0.13403314, u'missile', 0.13232957, u'fountain', 0.079754263, u'picket_fence', 0.059025843, u'candle', 0.051746778]
[u'wardrobe', 0.39207906, u'picket_fence', 0.16413827, u'butcher_shop', 0.057347257, u'theater_curtain', 0.054113071, u'candle', 0.030216997]
[u'abaya', 0.29658127, u'throne', 0.20987223, u'altar', 0.12553155, u'vestment', 0.10648403, u'butcher_shop', 0.10032693]
[u'bearskin', 0.31870842, u'military_uniform', 0.16072163, u'lab_coat', 0.053626813, u'torch', 0.040408533, u'ski', 0.039779346]
[u'ski', 0.67883837, u'unicycle', 0.092471763, u'totem_pole', 0.020730359, u'bearskin', 0.019679083, u'stupa', 0.01806476]
