[u'rock_crab', 0.34437746, u'hermit_crab', 0.14115335, u'tailed_frog', 0.096594602, u'fiddler_crab', 0.09420801, u'loggerhead', 0.089782014]
[u'parachute', 0.11173301, u'sunscreen', 0.083055019, u'bikini', 0.074376129, u'diaper', 0.06421347, u'flagpole', 0.0532794]
[u'brassiere', 0.28301778, u'tub', 0.12462198, u'bathtub', 0.12293445, u'maillot', 0.10449153, u'bikini', 0.088510051]
[u'maillot', 0.27102211, u'brassiere', 0.25107267, u'dumbbell', 0.077679209, u'bikini', 0.058481261, u'maillot', 0.054070804]
[u'bathtub', 0.45685381, u'tub', 0.30641454, u'bubble', 0.069648832, u'bikini', 0.030759754, u'sunscreen', 0.017901156]
[u'safety_pin', 0.23617481, u'lipstick', 0.12008774, u'ice_lolly', 0.10598291, u'whistle', 0.09296447, u'tick', 0.048459712]
[u'miniskirt', 0.25334856, u'maillot', 0.22812952, u'maillot', 0.082152404, u'brassiere', 0.078410029, u'gown', 0.0758572]
[u'pajama', 0.35574117, u'maillot', 0.1018275, u'miniskirt', 0.091452196, u'hoopskirt', 0.068169221, u'quilt', 0.068077229]
[u'bikini', 0.54233658, u'brassiere', 0.202325, u'maillot', 0.19186333, u'miniskirt', 0.010502705, u'maillot', 0.010055393]
[u'bathtub', 0.1954256, u'tub', 0.17664376, u'hermit_crab', 0.056683876, u'Band_Aid', 0.048981853, u'eft', 0.041919656]
[u'hermit_crab', 0.084029078, u'eft', 0.082412295, u'tailed_frog', 0.063450351, u'Band_Aid', 0.052786991, u'sunscreen', 0.024423581]
[u'bathtub', 0.35283071, u'tub', 0.18829, u'dough', 0.14436598, u'shower_cap', 0.083217517, u'bath_towel', 0.036552262]
[u'bathtub', 0.3775574, u'tub', 0.18346235, u'ice_lolly', 0.12079135, u'sunscreen', 0.049965139, u'shower_curtain', 0.041511733]
[u'sunscreen', 0.37561807, u'hog', 0.089424998, u'sandbar', 0.050477061, u'tub', 0.037430998, u'bathtub', 0.026481807]
[u'bathtub', 0.26240394, u'tub', 0.11170486, u"potter's_wheel", 0.074386925, u'cowboy_hat', 0.063521862, u'bath_towel', 0.055957377]
[u'miniskirt', 0.23832427, u'maillot', 0.12194321, u'maillot', 0.068267278, u'bikini', 0.060083941, u'sunscreen', 0.041488588]
[u'swimming_trunks', 0.14424093, u'bathing_cap', 0.11901245, u'sunscreen', 0.10201638, u'bikini', 0.085210085, u'brassiere', 0.053656623]
[u'bikini', 0.32134628, u'miniskirt', 0.11408985, u'sarong', 0.048122987, u'brassiere', 0.041283816, u'maillot', 0.04049468]
[u'diaper', 0.22348091, u'miniskirt', 0.12921667, u'maillot', 0.088100635, u'sarong', 0.0550403, u'pillow', 0.040654596]
[u'bikini', 0.67069852, u'maillot', 0.079790533, u'tub', 0.041892201, u'swimming_trunks', 0.0319614, u'sunscreen', 0.029591843]
[u'tub', 0.4665449, u'bathtub', 0.28427428, u"potter's_wheel", 0.11884052, u'stingray', 0.027288493, u'sunscreen', 0.027010908]
[u'ice_lolly', 0.25275075, u'bathtub', 0.15899175, u'shower_curtain', 0.13919434, u'tub', 0.054870442, u'sunscreen', 0.029409913]
[u'sea_cucumber', 0.12379903, u'dough', 0.085738488, u'banded_gecko', 0.064037532, u'tailed_frog', 0.043311927, u'starfish', 0.035284217]
[u'tick', 0.26175418, u'hog', 0.10530516, u'sunscreen', 0.075606525, u'hermit_crab', 0.051019177, u'conch', 0.049336664]
[u'shower_cap', 0.32564002, u'bubble', 0.14800443, u'sunscreen', 0.066457778, u'bathtub', 0.046917368, u'wig', 0.041555267]
[u'sunscreen', 0.19645452, u'tub', 0.12933673, u'bathtub', 0.10157814, u'Band_Aid', 0.058409099, u'mask', 0.054338954]
[u'sunscreen', 0.41265446, u'bathtub', 0.17293122, u'tub', 0.15053697, u'Band_Aid', 0.07895381, u'ice_lolly', 0.043873858]
[u'sunscreen', 0.49685484, u'shower_cap', 0.16296999, u'bathtub', 0.078150317, u'tub', 0.056835946, u'bathing_cap', 0.035202742]
[u'brassiere', 0.32980907, u'bikini', 0.23410551, u'maillot', 0.073122397, u'sandal', 0.037344936, u'Band_Aid', 0.029474203]
[u'theater_curtain', 0.14271413, u'digital_clock', 0.085959516, u'spotlight', 0.060797241, u'matchstick', 0.056868412, u'microphone', 0.034346934]
[u'tub', 0.24517561, u'sunscreen', 0.19761343, u'bathtub', 0.18172878, u'bubble', 0.038816951, u'bathing_cap', 0.026072761]
[u'miniskirt', 0.33125585, u'maillot', 0.16340546, u'maillot', 0.087829582, u'brassiere', 0.07166937, u'hand_blower', 0.066503361]
[u'drumstick', 0.09743306, u'hair_spray', 0.055339769, u'wooden_spoon', 0.03073483, u'syringe', 0.03048921, u'hand_blower', 0.023699196]
[u'bathtub', 0.70406842, u'tub', 0.27171502, u'bikini', 0.0090864785, u'maillot', 0.0028429579, u'bath_towel', 0.0017831065]
[u'bathtub', 0.40198082, u'tub', 0.31211379, u'bikini', 0.16944316, u'brassiere', 0.081016593, u'lotion', 0.0052074133]
[u'bikini', 0.2468276, u'brassiere', 0.20026048, u'bathtub', 0.15027983, u'diaper', 0.10244657, u'tub', 0.088519692]
[u'ice_lolly', 0.37456727, u'bubble', 0.30581203, u'nipple', 0.18404865, u'oxygen_mask', 0.071930289, u'syringe', 0.0077611473]
[u'wig', 0.59342843, u'sunscreen', 0.11538515, u'shower_cap', 0.067647509, u'sunglasses', 0.018200327, u'bathing_cap', 0.011554591]
[u'bathtub', 0.42008236, u'ice_lolly', 0.14320606, u'tub', 0.12743512, u'diaper', 0.078053832, u'sunscreen', 0.026411628]
[u'bikini', 0.60285103, u'tub', 0.086762913, u'bathtub', 0.050100818, u'bubble', 0.042404763, u'maillot', 0.036312111]
[u'tub', 0.40363884, u'bathtub', 0.32331845, u'dough', 0.056987949, u'ice_lolly', 0.031431872, u'spatula', 0.01627023]
[u'oxygen_mask', 0.22313814, u'nipple', 0.079258293, u'beaker', 0.06616243, u'snorkel', 0.059802253, u'Petri_dish', 0.055053711]
