[u'miniskirt', 0.34216869, u'brassiere', 0.051664356, u'maillot', 0.051448211, u'breastplate', 0.047648117, u'hoopskirt', 0.03599472]
[u'bikini', 0.19933537, u'bonnet', 0.10102008, u'wig', 0.076864265, u'maillot', 0.063811436, u'necklace', 0.059377864]
[u'brassiere', 0.27462298, u'tub', 0.09655834, u'French_bulldog', 0.062072724, u'bathtub', 0.032817859, u'mask', 0.030417582]
[u'cloak', 0.14061071, u'miniskirt', 0.11046159, u'bonnet', 0.10909714, u'stole', 0.066086881, u'velvet', 0.062621914]
[u'bikini', 0.82745254, u'maillot', 0.054540459, u'brassiere', 0.036008772, u'maillot', 0.015309208, u'volleyball', 0.010350705]
[u'sliding_door', 0.090397455, u'prison', 0.048728622, u'cash_machine', 0.028422207, u'turnstile', 0.022586597, u'monitor', 0.020926815]
[u'balance_beam', 0.51108629, u'horizontal_bar', 0.22987173, u'parallel_bars', 0.14357471, u'pole', 0.036934026, u'dumbbell', 0.025981773]
[u'American_alligator', 0.072664484, u'leatherback_turtle', 0.04506078, u'boa_constrictor', 0.038917761, u'rock_python', 0.038213097, u'hognose_snake', 0.033010934]
[u'tub', 0.19698147, u'bikini', 0.14936991, u'studio_couch', 0.11795843, u'bathtub', 0.07355804, u'maillot', 0.055812158]
[u'tub', 0.49659571, u'bathtub', 0.21470803, u'diaper', 0.19061464, u'swimming_trunks', 0.052266527, u'scale', 0.0044497144]
[u'bikini', 0.17955935, u'tub', 0.1258705, u'brassiere', 0.10107595, u'diaper', 0.064978309, u'bathtub', 0.056919537]
[u'hand_blower', 0.10744197, u'lotion', 0.078938194, u'sunscreen', 0.066870973, u'snorkel', 0.065176606, u'oxygen_mask', 0.063332997]
[u'ox', 0.33101219, u'Mexican_hairless', 0.22488411, u'water_buffalo', 0.078512371, u'oxcart', 0.05931174, u'Weimaraner', 0.050990384]
[u'window_screen', 0.088417687, u'torch', 0.037620526, u'hip', 0.033717662, u'horizontal_bar', 0.025765365, u'lorikeet', 0.018559327]
[u'bikini', 0.72392035, u'maillot', 0.12106209, u'maillot', 0.063778631, u'brassiere', 0.031363245, u'sunscreen', 0.016235294]
[u'maillot', 0.30025345, u'maillot', 0.19656935, u'brassiere', 0.12625557, u'sarong', 0.11534125, u'gown', 0.11420685]
[u'swimming_trunks', 0.33849794, u'bikini', 0.27593428, u'maillot', 0.14649603, u'maillot', 0.074015491, u'bathing_cap', 0.049250148]
[u'bikini', 0.45308688, u'brassiere', 0.33187041, u'maillot', 0.095652439, u'sarong', 0.017452544, u'gown', 0.014840328]
[u'sunscreen', 0.26215148, u'bath_towel', 0.15023328, u'diaper', 0.097335018, u'bathtub', 0.068886057, u'bikini', 0.058674306]
[u'diaper', 0.71202284, u'bathtub', 0.082678564, u'tub', 0.060119882, u'bath_towel', 0.033369977, u'bathing_cap', 0.025538012]
[u'wig', 0.39200205, u'brassiere', 0.22825626, u'bikini', 0.064291395, u'maillot', 0.031917643, u'hair_spray', 0.027745236]
[u'miniskirt', 0.078829028, u'maillot', 0.059577003, u'crossword_puzzle', 0.042348094, u'drumstick', 0.039431095, u'hand_blower', 0.037367444]
[u'bikini', 0.63358974, u'maillot', 0.17835446, u'sarong', 0.081609137, u'brassiere', 0.038094681, u'maillot', 0.032833405]
[u'bikini', 0.54069555, u'maillot', 0.33611184, u'brassiere', 0.085931428, u'maillot', 0.014545664, u'miniskirt', 0.012407004]
[u'bathtub', 0.32666433, u'tub', 0.32653537, u'bikini', 0.090918839, u'brassiere', 0.07738518, u'maillot', 0.041631911]
[u'bikini', 0.23611431, u'wig', 0.092146695, u'tub', 0.087351389, u'punching_bag', 0.086206026, u'maillot', 0.062254865]
[u'bikini', 0.20494314, u'brassiere', 0.19975927, u'miniskirt', 0.1666338, u'maillot', 0.12064715, u'gown', 0.074442975]
[u'swimming_trunks', 0.40332651, u'bikini', 0.17753468, u'bathing_cap', 0.12799862, u'sunscreen', 0.10972896, u'maillot', 0.050014149]
