[u'wire-haired_fox_terrier', 0.050642535, u'projectile', 0.030610112, u'English_foxhound', 0.03033345, u'missile', 0.019745534, u'space_shuttle', 0.019528925]
[u'window_screen', 0.1034883, u'sliding_door', 0.047070652, u'fire_screen', 0.045641046, u'geyser', 0.032863434, u'Egyptian_cat', 0.031709105]
[u'library', 0.46017155, u'bookshop', 0.27666289, u'bookcase', 0.034096178, u'sliding_door', 0.023171106, u'dining_table', 0.0098309657]
[u'sliding_door', 0.15098898, u'medicine_chest', 0.051015358, u'oscilloscope', 0.043415789, u'monitor', 0.040004626, u'cash_machine', 0.038553096]
[u'library', 0.70731038, u'bookshop', 0.084957376, u'bookcase', 0.018448487, u'tobacco_shop', 0.014625045, u'restaurant', 0.014012106]
[u'library', 0.076559655, u'wool', 0.027026288, u'dining_table', 0.024739085, u'bookshop', 0.021894582, u'missile', 0.021410424]
[u'keeshond', 0.070293106, u'Norwegian_elkhound', 0.031006344, u'Dandie_Dinmont', 0.026407558, u'library', 0.022649577, u'Old_English_sheepdog', 0.019966528]
[u'planetarium', 0.68727934, u'dome', 0.053978443, u'Angora', 0.048703041, u'airship', 0.046728127, u'balloon', 0.013133866]
[u'library', 0.14454399, u'bookshop', 0.071915507, u'German_shepherd', 0.034110267, u'Tibetan_mastiff', 0.022614192, u'dining_table', 0.019627446]
[u'library', 0.41023964, u'desk', 0.094075896, u'dining_table', 0.062713139, u'bookshop', 0.052682012, u'cash_machine', 0.021448465]
[u'library', 0.12480094, u'container_ship', 0.094601408, u'bookshop', 0.060897503, u'planetarium', 0.023090431, u'tobacco_shop', 0.021165505]
[u'shower_curtain', 0.56596923, u'handkerchief', 0.023842435, u'toilet_seat', 0.012626264, u'window_shade', 0.01223521, u'swimming_trunks', 0.0093586231]
[u'library', 0.071353532, u'tobacco_shop', 0.054086234, u'bookshop', 0.052626822, u'restaurant', 0.016052889, u'dining_table', 0.014834896]
[u'matchstick', 0.074762732, u'nematode', 0.055410285, u'digital_clock', 0.031240927, u'spotlight', 0.027774015, u'lighter', 0.025901662]
[u'library', 0.11596613, u'bookshop', 0.080561459, u'planetarium', 0.061828405, u'monitor', 0.044769898, u'Angora', 0.043988463]
[u'African_hunting_dog', 0.027252009, u'dhole', 0.02359079, u'keeshond', 0.015365715, u'German_shepherd', 0.015200591, u'mink', 0.014943925]
[u'shower_curtain', 0.048421998, u'vault', 0.043649092, u'window_screen', 0.039236616, u'window_shade', 0.036847353, u'fire_screen', 0.036816809]
[u'digital_clock', 0.21226145, u'rule', 0.069718324, u'container_ship', 0.058767699, u'envelope', 0.052741032, u'web_site', 0.028529564]
[u'planetarium', 0.030752342, u'Chihuahua', 0.02920929, u'sea_snake', 0.024954097, u'solar_dish', 0.022659099, u'container_ship', 0.019937906]
[u'library', 0.51575565, u'bookshop', 0.19892895, u'bookcase', 0.020012174, u'dining_table', 0.018217303, u'tobacco_shop', 0.016142745]
