[u'tobacco_shop', 0.076778509, u'digital_clock', 0.067125052, u'container_ship', 0.047738098, u'traffic_light', 0.028422453, u'scoreboard', 0.02802806]
[u'digital_clock', 0.078390718, u'balloon', 0.075722784, u'fountain', 0.066766798, u'container_ship', 0.044681448, u'spotlight', 0.032217495]
[u'library', 0.13749404, u'dining_table', 0.051632475, u'vault', 0.050355308, u'shoji', 0.041261055, u'bookshop', 0.028156307]
[u'window_screen', 0.045050252, u'shower_curtain', 0.018467994, u'pedestal', 0.015003073, u'window_shade', 0.014490564, u'German_shepherd', 0.014059101]
[u'container_ship', 0.069306105, u'window_screen', 0.048490629, u'fire_screen', 0.037335586, u'book_jacket', 0.037120827, u'fireboat', 0.028327715]
[u'library', 0.68183136, u'bookshop', 0.10917097, u'dining_table', 0.013785435, u'tobacco_shop', 0.007881714, u'container_ship', 0.0077716196]
[u'pedestal', 0.049863096, u'Windsor_tie', 0.049077239, u'window_screen', 0.040198989, u'bulletproof_vest', 0.030017827, u'space_shuttle', 0.02067942]
[u'container_ship', 0.31490618, u'book_jacket', 0.047243249, u'library', 0.039568055, u'scoreboard', 0.035174575, u'bookshop', 0.029746782]
[u'bookshop', 0.089430869, u'tobacco_shop', 0.067877449, u'German_shepherd', 0.040023889, u'library', 0.025499685, u'Tibetan_mastiff', 0.018197978]
[u'fire_screen', 0.10177502, u'bookshop', 0.055635441, u'sliding_door', 0.051222399, u'prison', 0.036398023, u'library', 0.033023287]
[u'container_ship', 0.1039231, u'bookshop', 0.091450371, u'tobacco_shop', 0.062740095, u'library', 0.040747203, u'crossword_puzzle', 0.027573161]
[u'matchstick', 0.076320358, u'nematode', 0.057598833, u'digital_clock', 0.031422324, u'lighter', 0.026410684, u'spotlight', 0.026020736]
[u'stupa', 0.047733068, u'mosque', 0.04452898, u'container_ship', 0.042106252, u'vault', 0.019556992, u'crane', 0.017871263]
[u'window_screen', 0.13491799, u'shower_curtain', 0.094066754, u'fire_screen', 0.058930852, u'pedestal', 0.052294504, u'oscilloscope', 0.026304759]
[u'syringe', 0.29811618, u'bikini', 0.14684242, u'drumstick', 0.027187297, u'pole', 0.024987886, u'power_drill', 0.023431584]
[u'vault', 0.059472118, u'library', 0.056342792, u'container_ship', 0.05116294, u'bookshop', 0.036243077, u'planetarium', 0.034292076]
[u'library', 0.21503429, u'bookshop', 0.12387799, u'maze', 0.12307291, u'quilt', 0.056992542, u'vault', 0.055700354]
[u'tray', 0.15802509, u'digital_watch', 0.068470165, u'purse', 0.034940984, u'bolo_tie', 0.034570139, u'shield', 0.030832179]
[u'iron', 0.12574463, u'paintbrush', 0.063785039, u'flute', 0.05915191, u'stretcher', 0.056307476, u'bathing_cap', 0.042887501]
[u'container_ship', 0.23508336, u'crossword_puzzle', 0.18153469, u'digital_clock', 0.082564883, u'electric_guitar', 0.082281314, u'rule', 0.075871214]
[u'badger', 0.032423593, u'English_foxhound', 0.031143306, u'wire-haired_fox_terrier', 0.030470362, u'Japanese_spaniel', 0.017412502, u'Madagascar_cat', 0.015101713]
[u'container_ship', 0.78840899, u'carton', 0.12754564, u'crate', 0.026631575, u'library', 0.012926978, u'apiary', 0.0040860944]
[u'window_screen', 0.18526094, u'window_shade', 0.072347686, u'oscilloscope', 0.044457957, u'fire_screen', 0.034344669, u'solar_dish', 0.032737114]
[u'container_ship', 0.38581559, u'toilet_seat', 0.029619871, u'carton', 0.02618021, u'envelope', 0.01920577, u'solar_dish', 0.019148408]
[u'library', 0.47422785, u'bookshop', 0.11658063, u'desk', 0.11190545, u'bookcase', 0.063156486, u'dining_table', 0.030715695]
[u'shoji', 0.062926099, u'dining_table', 0.056666121, u'window_screen', 0.054315958, u'library', 0.053492308, u'shower_curtain', 0.052930702]
[u'container_ship', 0.92937618, u'carton', 0.0072494177, u'crane', 0.0038827511, u'digital_clock', 0.0025539948, u'washbasin', 0.0021669036]
[u'vault', 0.046480116, u'fire_screen', 0.031339865, u'planetarium', 0.027621713, u'bannister', 0.024622239, u'window_screen', 0.023706125]
[u'container_ship', 0.19718893, u'crane', 0.077005699, u'traffic_light', 0.055458833, u'matchstick', 0.040780947, u'bell_cote', 0.025264889]
[u'bookshop', 0.37527478, u'library', 0.31961921, u'bookcase', 0.032380246, u'tobacco_shop', 0.030932739, u'dining_table', 0.029355904]
[u'library', 0.2411944, u'bookshop', 0.12468491, u'carton', 0.035900641, u'sliding_door', 0.035151206, u'dining_table', 0.03239036]
[u'sliding_door', 0.13992652, u'library', 0.11871984, u'bookshop', 0.094525106, u'window_shade', 0.037482187, u'bookcase', 0.034810077]
[u'library', 0.1340562, u'bookshop', 0.063179404, u'stupa', 0.036604982, u'Bernese_mountain_dog', 0.028072506, u'Appenzeller', 0.01693893]
[u'library', 0.18255059, u'bookshop', 0.04884832, u'toilet_seat', 0.047650468, u'toilet_tissue', 0.039253797, u'container_ship', 0.027907249]
[u'bookshop', 0.093150876, u'library', 0.092043027, u'crossword_puzzle', 0.054551687, u'washbasin', 0.030473327, u'dining_table', 0.03010235]
[u'library', 0.71797055, u'bookshop', 0.071188986, u'bookcase', 0.023223598, u'dining_table', 0.021276791, u'carton', 0.01564241]
[u'bookshop', 0.089435466, u'planetarium', 0.059782211, u'library', 0.052970927, u'caldron', 0.037939195, u'tobacco_shop', 0.037757333]
[u'bearskin', 0.062049881, u'rain_barrel', 0.047971506, u'pedestal', 0.04038408, u'bucket', 0.037716698, u'cash_machine', 0.028693188]
[u'bookshop', 0.15728401, u'library', 0.15213184, u'container_ship', 0.065086707, u'crossword_puzzle', 0.017081885, u'tobacco_shop', 0.01601423]
[u'quilt', 0.081118353, u'crossword_puzzle', 0.075854123, u'bookshop', 0.037969783, u'maze', 0.02612339, u'library', 0.02003012]
[u'beacon', 0.25498077, u'crane', 0.11509556, u'container_ship', 0.066088207, u'missile', 0.055539448, u'water_tower', 0.042086795]
[u'digital_clock', 0.72829759, u'traffic_light', 0.1413544, u"jack-o'-lantern", 0.036576476, u'digital_watch', 0.030464096, u'scoreboard', 0.013085855]
[u'Bedlington_terrier', 0.086601272, u'borzoi', 0.067211993, u'white_wolf', 0.050820496, u'wire-haired_fox_terrier', 0.047064606, u'timber_wolf', 0.035958271]
[u'container_ship', 0.42495528, u'carton', 0.18289043, u'maze', 0.070028841, u'digital_clock', 0.068965703, u'jigsaw_puzzle', 0.02882182]
[u'window_shade', 0.02641084, u'bookcase', 0.023988031, u'Windsor_tie', 0.018862043, u'shoji', 0.017786846, u'bulletproof_vest', 0.015975352]
[u'bookshop', 0.15274581, u'library', 0.11399722, u'sliding_door', 0.031814322, u'window_screen', 0.028996831, u'tobacco_shop', 0.026707603]
[u'container_ship', 0.26239684, u'crossword_puzzle', 0.09897612, u'library', 0.049177948, u'wool', 0.040670168, u'bookshop', 0.019922065]
[u'bookshop', 0.07056202, u'library', 0.046621881, u'balloon', 0.036867935, u'shield', 0.031594764, u'wool', 0.030726617]
[u'library', 0.15626407, u'bookshop', 0.11060331, u'prison', 0.024288064, u'vault', 0.022051543, u'container_ship', 0.017689738]
[u'stupa', 0.20677911, u'theater_curtain', 0.12871979, u'pedestal', 0.057529066, u'cinema', 0.048413523, u'library', 0.043375157]
[u'container_ship', 0.12536119, u'bookshop', 0.086138368, u'library', 0.050838314, u'tobacco_shop', 0.042090688, u'solar_dish', 0.017426865]
[u'pedestal', 0.063274913, u'window_shade', 0.046968412, u'library', 0.042817235, u'dining_table', 0.03067475, u'bookcase', 0.029818885]
[u'monitor', 0.038800642, u'digital_clock', 0.037855171, u'oscilloscope', 0.035111137, u'container_ship', 0.03473559, u'library', 0.028469548]
[u'library', 0.38032234, u'bookshop', 0.18397871, u'tobacco_shop', 0.03789527, u'bookcase', 0.020962082, u'container_ship', 0.018207518]
[u'library', 0.41533473, u'bookshop', 0.093404032, u'vault', 0.042356987, u'dining_table', 0.029941039, u'grand_piano', 0.017595999]
[u'bookshop', 0.084148504, u'library', 0.08402136, u'vault', 0.036462758, u'shower_curtain', 0.031785022, u'shoji', 0.030466281]
[u'missile', 0.12904523, u'pedestal', 0.073283613, u'projectile', 0.072207443, u'planetarium', 0.062343102, u'space_shuttle', 0.039083418]
[u'shower_curtain', 0.10929839, u'crossword_puzzle', 0.06041925, u'wool', 0.032767445, u'container_ship', 0.028952116, u'Windsor_tie', 0.025142727]
[u'dining_table', 0.067412049, u'container_ship', 0.03647856, u'table_lamp', 0.025638975, u'vase', 0.024145374, u'bookcase', 0.024071502]
