[u'swimming_trunks', 0.74286985, u'diaper', 0.057275943, u'bikini', 0.044785406, u'tub', 0.038881931, u'bathing_cap', 0.019403625]
[u'bikini', 0.16347241, u'maillot', 0.1623908, u'maillot', 0.093041144, u'tub', 0.052333724, u'bathing_cap', 0.051339682]
[u'groom', 0.059119321, u'crossword_puzzle', 0.033181615, u'candle', 0.029401865, u'dial_telephone', 0.029384065, u'piggy_bank', 0.023715686]
[u"potter's_wheel", 0.19120251, u'butcher_shop', 0.075522237, u'cowboy_hat', 0.043454181, u'bakery', 0.02580755, u'prison', 0.023368526]
[u"potter's_wheel", 0.46288708, u'swimming_trunks', 0.14183693, u'Mexican_hairless', 0.093018398, u'butcher_shop', 0.065678149, u'Weimaraner', 0.051058523]
[u'tricycle', 0.095416576, u'nipple', 0.056292269, u'syringe', 0.041856922, u'ice_lolly', 0.030723045, u'lotion', 0.029685801]
[u'sunscreen', 0.14452454, u'plunger', 0.063912302, u'shower_cap', 0.052611645, u'hair_spray', 0.046735056, u'ice_lolly', 0.036064882]
[u'tub', 0.13911781, u'swimming_trunks', 0.12750515, u'bathtub', 0.05871905, u'diaper', 0.052428607, u'teddy', 0.036051393]
[u'Indian_cobra', 0.23533028, u'chain', 0.19966261, u'scorpion', 0.067941494, u'swing', 0.023096563, u'frilled_lizard', 0.019053193]
[u'sandal', 0.26726463, u'cowboy_hat', 0.11179841, u'bikini', 0.067669585, u'sombrero', 0.040828921, u'sunscreen', 0.02463052]
[u'bikini', 0.33048508, u'swimming_trunks', 0.16044298, u'maillot', 0.090679511, u'diaper', 0.053913787, u'maillot', 0.047379751]
[u'bikini', 0.17395161, u'brassiere', 0.15037169, u'tub', 0.11054929, u'bathtub', 0.086937122, u'maillot', 0.068531498]
[u'maillot', 0.35363975, u'miniskirt', 0.16093577, u'maillot', 0.11043541, u'wig', 0.086883023, u'barbell', 0.026003186]
[u'bikini', 0.69025248, u'swimming_trunks', 0.090668783, u'maillot', 0.038459264, u'diaper', 0.028165668, u'tub', 0.025506811]
[u'shoe_shop', 0.047514163, u'carousel', 0.046658363, u'pug', 0.041865353, u'Chihuahua', 0.027681323, u'toyshop', 0.026893741]
[u'bikini', 0.79575664, u'maillot', 0.071796857, u'brassiere', 0.052031372, u'maillot', 0.044016927, u'sunscreen', 0.0056936527]
[u'military_uniform', 0.12273768, u'Mexican_hairless', 0.11989881, u'muzzle', 0.053117979, u'American_Staffordshire_terrier', 0.038182192, u'Weimaraner', 0.031231198]
[u'swimming_trunks', 0.23790787, u'tub', 0.0432535, u'bathing_cap', 0.042632245, u'bow', 0.030213928, u'shower_cap', 0.023047455]
[u'bathtub', 0.17353761, u'swimming_trunks', 0.17108929, u'diaper', 0.16846925, u'bikini', 0.15536863, u'tub', 0.12674846]
[u'wig', 0.21099752, u'shower_cap', 0.08941029, u'bikini', 0.047299571, u'bathing_cap', 0.039903518, u'feather_boa', 0.031844698]
[u'maillot', 0.3028965, u'miniskirt', 0.11817754, u'sandal', 0.09142936, u'Band_Aid', 0.076471403, u'bikini', 0.076290384]
[u'brassiere', 0.14019109, u'feather_boa', 0.094560161, u'wig', 0.088361606, u'gown', 0.076016083, u'lipstick', 0.044018842]
[u'miniskirt', 0.084923789, u'cuirass', 0.076464251, u'breastplate', 0.057692051, u'sarong', 0.039099157, u'feather_boa', 0.033219356]
[u'Italian_greyhound', 0.18225436, u'miniskirt', 0.12049018, u'brassiere', 0.065697283, u'knee_pad', 0.035756979, u'toy_terrier', 0.033354513]
[u'pretzel', 0.16988824, u'hog', 0.11598649, u'dough', 0.11154982, u'swimming_trunks', 0.09738905, u'parallel_bars', 0.028886467]
[u'swimming_trunks', 0.14334238, u'bathing_cap', 0.097509906, u'bikini', 0.083821326, u'maillot', 0.079801977, u'running_shoe', 0.052919142]
[u'bikini', 0.64654791, u'maillot', 0.10159784, u'miniskirt', 0.027421176, u'sunscreen', 0.021934107, u'swimming_trunks', 0.019832261]
[u'brassiere', 0.38282529, u'bikini', 0.18020618, u'tub', 0.057670511, u'maillot', 0.052134562, u'diaper', 0.050560243]
[u'studio_couch', 0.44359854, u'maillot', 0.168659, u'miniskirt', 0.10390383, u'maillot', 0.081297472, u'gown', 0.028748872]
[u'power_drill', 0.062618844, u'jigsaw_puzzle', 0.060761385, u'gasmask', 0.059364773, u'Mexican_hairless', 0.052900475, u'hammer', 0.046358481]
[u'bikini', 0.36156774, u'brassiere', 0.075041242, u'maillot', 0.031467937, u'wig', 0.030620255, u'groom', 0.029564565]
[u'bikini', 0.56625986, u'maillot', 0.147415, u'sandal', 0.040768765, u'bathtub', 0.039508335, u'butternut_squash', 0.033939645]
[u'swimming_trunks', 0.70944291, u'diaper', 0.13487759, u'bikini', 0.032059617, u'sunscreen', 0.02120845, u'barbell', 0.015606442]
[u'cash_machine', 0.35611793, u'sunscreen', 0.060488481, u'shower_cap', 0.046070956, u'toilet_seat', 0.027066961, u'lotion', 0.024557764]
[u'miniskirt', 0.98244679, u'maillot', 0.0049730083, u'bikini', 0.0036492874, u'brassiere', 0.0018160824, u'bearskin', 0.0010237594]
[u'bikini', 0.83513725, u'maillot', 0.049802046, u'diaper', 0.028975513, u'miniskirt', 0.021901336, u'tub', 0.013966257]
