[u'window_shade', 0.12827234, u'sliding_door', 0.10123766, u'shower_curtain', 0.063690454, u'window_screen', 0.040630244, u'library', 0.038723476]
[u'shower_curtain', 0.048461962, u'washbasin', 0.042206697, u'container_ship', 0.039119281, u'toilet_tissue', 0.027816005, u'planetarium', 0.02732894]
[u'container_ship', 0.10309413, u'cassette', 0.086341269, u'slide_rule', 0.036756136, u'rule', 0.036510903, u'web_site', 0.02838737]
[u'cash_machine', 0.24477243, u'sliding_door', 0.080987483, u'cinema', 0.072550826, u'traffic_light', 0.046089292, u'turnstile', 0.03769448]
[u'container_ship', 0.46378976, u'scoreboard', 0.15290736, u'digital_clock', 0.12646326, u'library', 0.013130293, u'cinema', 0.012744163]
[u'sliding_door', 0.14153889, u'shower_curtain', 0.073795721, u'tobacco_shop', 0.063697331, u'window_shade', 0.041888084, u'medicine_chest', 0.039389823]
[u'library', 0.11827919, u'window_shade', 0.06968344, u'carton', 0.041675963, u'bookcase', 0.032840699, u'sliding_door', 0.032763012]
[u'sliding_door', 0.12190031, u'photocopier', 0.038762309, u'dining_table', 0.0344018, u'library', 0.028418483, u'shoji', 0.027392855]
[u'digital_clock', 0.26118791, u'analog_clock', 0.093433268, u'scoreboard', 0.062353387, u'traffic_light', 0.04946512, u'digital_watch', 0.032457098]
[u'window_shade', 0.1585926, u'spotlight', 0.06063775, u'sliding_door', 0.052039675, u'vault', 0.051435575, u'window_screen', 0.044244755]
[u'fire_screen', 0.46236837, u'wardrobe', 0.048734594, u'sliding_door', 0.04839753, u'washbasin', 0.040370122, u'china_cabinet', 0.039827276]
[u'window_shade', 0.059489191, u'traffic_light', 0.036184963, u'window_screen', 0.033140309, u'sliding_door', 0.025302611, u'airship', 0.024524903]
[u'container_ship', 0.30764231, u'library', 0.080123939, u'bookcase', 0.031646684, u'digital_clock', 0.019425817, u'sliding_door', 0.018748939]
[u'shower_curtain', 0.17068662, u'fire_screen', 0.10103309, u'window_screen', 0.055800345, u'window_shade', 0.038806252, u'wardrobe', 0.026914435]
[u'window_screen', 0.22095752, u'doormat', 0.030158985, u'window_shade', 0.028975995, u'sliding_door', 0.027302127, u'shower_curtain', 0.024736747]
[u'table_lamp', 0.090943716, u'dining_table', 0.088840224, u'lampshade', 0.082776375, u'washbasin', 0.075198919, u'shower_curtain', 0.054811832]
