[u'maillot', 0.3295677, u'maillot', 0.25758886, u'bathtub', 0.080368958, u'tub', 0.077255063, u'brassiere', 0.062562704]
[u'maillot', 0.29365614, u'miniskirt', 0.21292482, u'bikini', 0.19453813, u'maillot', 0.11299998, u'swimming_trunks', 0.061735447]
[u'bikini', 0.6014787, u'brassiere', 0.094521932, u'maillot', 0.079374857, u'tub', 0.039218232, u'maillot', 0.036569741]
[u'bikini', 0.27380401, u'maillot', 0.19563356, u'brassiere', 0.095963947, u'sunscreen', 0.048217084, u'maillot', 0.039542004]
[u'tub', 0.46645036, u'bathtub', 0.42890316, u'swimming_trunks', 0.029073991, u'brassiere', 0.025073484, u'bikini', 0.018092558]
[u'rifle', 0.21654338, u'military_uniform', 0.16811103, u'stretcher', 0.083033822, u'swimming_trunks', 0.061269287, u'bikini', 0.05678292]
[u'hair_spray', 0.096235238, u'boa_constrictor', 0.071717881, u'cellular_telephone', 0.04975827, u'waffle_iron', 0.038274825, u'leatherback_turtle', 0.031736102]
[u'bikini', 0.33338207, u'maillot', 0.21300791, u'maillot', 0.12275229, u'tub', 0.033768233, u'bathtub', 0.024023443]
[u'maillot', 0.44799128, u'miniskirt', 0.27559751, u'brassiere', 0.16884899, u'maillot', 0.056258284, u'bikini', 0.018363331]
[u'sleeping_bag', 0.05935052, u'Boston_bull', 0.050959241, u'redbone', 0.049625624, u'Italian_greyhound', 0.043223538, u'jigsaw_puzzle', 0.038642056]
[u'miniskirt', 0.22140662, u'maillot', 0.07923577, u'maillot', 0.064184219, u'bikini', 0.048574626, u'ice_lolly', 0.034864321]
[u'diaper', 0.62135172, u'miniskirt', 0.031830166, u'jigsaw_puzzle', 0.025348501, u'paper_towel', 0.024462242, u'dough', 0.024123264]
[u'bikini', 0.51508003, u'brassiere', 0.2100859, u'maillot', 0.0781947, u'diaper', 0.034973636, u'swimming_trunks', 0.028900329]
[u'bikini', 0.44860566, u'maillot', 0.34602866, u'ice_lolly', 0.071758837, u'maillot', 0.055704493, u'miniskirt', 0.015168697]
[u'tub', 0.14212325, u'diaper', 0.13189319, u'bikini', 0.10533267, u'maillot', 0.070742674, u'miniskirt', 0.070132166]
[u'tub', 0.45613757, u'bathtub', 0.27902573, u'bathing_cap', 0.043128304, u'ice_lolly', 0.02729333, u'stingray', 0.023012085]
[u'swimming_trunks', 0.36519411, u'bikini', 0.31256971, u'maillot', 0.063785106, u'miniskirt', 0.053519066, u'rifle', 0.036336448]
[u'maillot', 0.23151223, u'swimming_trunks', 0.10244246, u'maillot', 0.092154652, u'miniskirt', 0.076749347, u'studio_couch', 0.062925696]
[u'bikini', 0.49681342, u'miniskirt', 0.13945925, u'maillot', 0.11382289, u'brassiere', 0.075317629, u'sandal', 0.046241485]
[u'comic_book', 0.34392452, u'gasmask', 0.14709182, u'mask', 0.13638844, u'oxygen_mask', 0.0750219, u'scuba_diver', 0.05487207]
[u'gown', 0.24135317, u'bikini', 0.23941626, u'maillot', 0.19197281, u'brassiere', 0.047981299, u'maillot', 0.043468826]
[u'miniskirt', 0.22894758, u'tub', 0.10057648, u'bikini', 0.087920606, u'brassiere', 0.077874914, u'cowboy_hat', 0.054374631]
