[u'digital_clock', 0.27500078, u'syringe', 0.052969959, u'crane', 0.043297376, u'oscilloscope', 0.038864482, u"jack-o'-lantern", 0.038727753]
[u'digital_clock', 0.10682728, u'microwave', 0.069124065, u'window_screen', 0.0604214, u'German_shepherd', 0.016778264, u'police_van', 0.015044602]
[u'container_ship', 0.13780083, u'digital_clock', 0.07654094, u'crossword_puzzle', 0.059846703, u'scoreboard', 0.028465774, u'shower_curtain', 0.019172087]
[u'container_ship', 0.31219611, u'library', 0.093275674, u'medicine_chest', 0.060990926, u'carton', 0.03897066, u'bookcase', 0.027436458]
[u'container_ship', 0.31193283, u'bell_cote', 0.028670859, u'digital_clock', 0.028654281, u'library', 0.028225001, u'cinema', 0.026351243]
[u'switch', 0.11162031, u'matchstick', 0.068255588, u'picket_fence', 0.051414426, u'organ', 0.04319983, u'analog_clock', 0.041480638]
[u'digital_clock', 0.17908521, u'picket_fence', 0.13694426, u'digital_watch', 0.048745722, u'crossword_puzzle', 0.047853254, u'matchstick', 0.043529764]
[u'window_shade', 0.18113562, u'medicine_chest', 0.16429673, u'picket_fence', 0.061003979, u'sliding_door', 0.056899101, u'safe', 0.027334744]
[u'restaurant', 0.063809089, u'traffic_light', 0.054526415, u'torch', 0.045893475, u'bullet_train', 0.037120435, u'cab', 0.029783534]
[u'space_shuttle', 0.061174668, u'airship', 0.056403279, u'balloon', 0.039358679, u'bell_cote', 0.037747126, u'mosque', 0.036038041]
[u'bookcase', 0.20994963, u'library', 0.16496873, u'dining_table', 0.078241512, u'carton', 0.042027403, u'wardrobe', 0.040879339]
[u'vault', 0.10575888, u'pedestal', 0.053418003, u'toilet_seat', 0.037555326, u'bell_cote', 0.03369274, u'washbasin', 0.032843862]
[u'dining_table', 0.25584361, u'wardrobe', 0.11177438, u'shoji', 0.066992648, u'sliding_door', 0.058532223, u'desk', 0.051747717]
[u'sliding_door', 0.26484203, u'window_shade', 0.15165263, u'shoji', 0.11988872, u'window_screen', 0.051265176, u'prison', 0.024578918]
[u'crossword_puzzle', 0.559026, u'scoreboard', 0.078246757, u'container_ship', 0.045798179, u'digital_clock', 0.030424658, u'analog_clock', 0.014114192]
[u'container_ship', 0.47466123, u'crossword_puzzle', 0.078361616, u'Windsor_tie', 0.054864317, u'wool', 0.028708147, u'scoreboard', 0.026684828]
[u'shower_curtain', 0.60006166, u'wardrobe', 0.075693138, u'washbasin', 0.056036729, u'sliding_door', 0.046425119, u'medicine_chest', 0.022090301]
[u'prayer_rug', 0.12153853, u'shower_curtain', 0.043036751, u'velvet', 0.040838555, u'Christmas_stocking', 0.020357689, u'handkerchief', 0.019274535]
